;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_2;actio, build_mass, demonstration, unionize, collective_action, democratizecome, unleash;7;fossil, new_deal, natural_gas, ecofascism, climateemergency, decarbonize, ecology, vegan, unsustainable, greennewd, clima, deforestation, exxonmobil, fridaysforfuture, climateelection, climatic, ecoapartheid, gogreenvotere;18;stay_safe, corona, symptom, vaccine, antidote;5;disability, medicaid, mental_health, medication;4;strengthen, politicalrevolution, freedomisthefuture, freedomfuture, ourcommunitiesourfuture;5;shelter, lose_job, minimum_wage, paycheck, homesguarantee, salary, makebillionairespay, bail_reform, residence, landlordhorrorstory, unionsforall, unskilled, debtor, evictio, rentcontro;15;humanitarian, socialismorbarbarism, destructive, heartbreake, horrifying, incompetent, overwhelmingly;7
week_3;peoplesaction, werolltogether;2;renewableheatnow;1;frontline, keep_safe;2;disease, reproductive_freedom, prevention, singlepayernow, mentalhealthmatter;5;rehabilitate, opportun;2;social_security, eviction_moratorium, cut_social, cancelstudentdebt, accessibility, peoplenotprofit, economicdemocracy, solidarityeconomy, economicjustice, homelessmemorialday, underprivileged;11;countless, disastrous, illegitimate, abhorrent;4
week_4;vote_mail;1;oil_gas, climatecrisis, greenpeace;3;epidemic;1;diabetic, medicaref;2;newyearsrevolution, bigstructuralchange;2;workforce, redistribution, organizethesouth, servicesnotsweep, nochristmaseviction, universalrentcontrol, stopwagetheft;7;desperate, exponential, tremendously;3
week_5;action_alert, unstoppable;2;environmentalist, exxonknew;2;virus;1;abortionishealthcare, hospitalize, lifesave, abortionondemand, withoutapology, abortionis, providencepatientsbeforeprofit;7;righteous;1;small_business, billionaire_exist, socialsecurity, endcashbail;4;frustrate, desperation, heartbroken, unapologetic;4
week_6;hunger_strike, riseup;2;environmentaljustice, systemchangenotclimatechange, ecofasci;3;0;0;cut_medicaid, sick_leave, passnyhealth, chronic, planned, healthjustice, medically, exposefakeclinic, healthjusticenow, hospitalization, medicarefora, goboldonhealthcare;12;deescalation, empowerment, opportune;3;economic_crisis, safety_net, goodcauseeviction, noeviction, stopthesweep, stopthesweeps, cuomoshousingcrisis, evictthespeculators, realrentcontrol, utility_bill;10;emergenc, exponent;2
week_7;takeaction;1;greennew, climatebanner, greennewdealva, climateactivist, greenjobs, sunrisemovement;6;reopen;1;uninsured, medic, obamacare, newyorkhealthact, disabilityrights, insurancehorrorstory, patientright, pharmacology, unitedhealth;9;0;0;nursing_home, underinsure, uninsure, poorpeoplescampaign, solutionsnotsweeps, houselessness, abolishlandlords, affordablehouse, evictthespeculator, homeles, minimumwage, tuitionfreecollege, unemploymentrate;13;mortality, heartbreaking;2
week_8;jointhemovement, dayofaction;2;greenwashe, nopipeline;2;wear_mask, sanitize;2;abortionisawomansright, chicagolovesmedicareforall;2;changemaker, oportunidad;2;realrentcontr, wagetransparency;2;terribly;1
week_9;0;0;climateaction, ecologically, socialecology;3;coronavirus, ppe, outbreak;3;sickness;1;0;0;moratorium_eviction, understaffe, endwagetheft, evictng;4;0;0
week_10;0;0;ecosystem, gettheleadoutcoalition, orclimateaction;3;immune;1;fundabortionbuildpower, peteshealthtax, blackhealthcoalitionofwi;3;0;0;stimulus, blacklivesmatteratschool, servicesnotsweeps, feedthepoor, homesforallmd, nocontractnopeace, reclaimrentcontrol;7;horrendous, unjustly, unspeakable;3
week_11;actionnetwork, voteforbernie;2;nonbkpipeline, greenn;2;epidemiologist;1;healthcareisahumanright, healthpolicyvalentine;2;ourenergyfuture;1;lifttheban_rent, utility_shutoff, decommodifye, classstruggle, homesgaurantee, homesnotgame, homesnothotel;7;agonize, pitiful;2
