;health-health;health-covid;health-urgency;health-climate;health-agency;health-social;health-possibility;covid-covid;covid-urgency;covid-climate;covid-agency;covid-social;covid-possibility;urgency-urgency;urgency-climate;urgency-agency;urgency-social;urgency-possibility;climate-climate;climate-agency;climate-social;climate-possibility;agency-agency;agency-social;agency-possibility;social-social;social-possibility;possibility-possibility
week_1;59,375;1,6544117647058825;15,441176470588236;0,0;17,647058823529413;6,0661764705882355;9,007352941176471;0,0;1,4705882352941175;0,0;0,1838235294117647;0,1838235294117647;0,0;1,1029411764705883;0,0;2,0220588235294117;0,1838235294117647;1,4705882352941175;0,0;0,0;0,0;0,1838235294117647;0,9191176470588236;0,7352941176470588;0,7352941176470588;0,0;0,1838235294117647;0,0
week_2;51,532033426183844;2,414113277623027;24,698235840297123;0,7428040854224698;14,206128133704734;4,456824512534819;9,192200557103064;0,0;1,1142061281337048;0,18570102135561745;0,3714020427112349;0,0;0,18570102135561745;1,6713091922005572;0,0;1,9498607242339834;0,7428040854224698;1,1142061281337048;0,18570102135561745;0,18570102135561745;0,0;0,0;0,9285051067780872;0,2785515320334262;1,1142061281337048;0,0;0,4642525533890436;0,0
week_3;51,681195516811954;1,1207970112079702;20,921544209215444;0,12453300124533001;17,932752179327522;4,9813200498132;6,102117061021171;0,0;1,9925280199252802;0,0;1,1207970112079702;0,49813200498132004;0,24906600249066002;1,9925280199252802;0,0;5,230386052303861;1,36986301369863;0,9962640099626401;0,0;0,0;0,0;0,12453300124533001;1,61892901618929;0,49813200498132004;1,4943960149439601;0,0;0,62266500622665;0,12453300124533001
week_4;39,682539682539684;2,1164021164021163;19,576719576719576;0,0;8,465608465608465;8,201058201058201;8,465608465608465;0,0;0,7936507936507936;0,0;0,26455026455026454;0,0;0,7936507936507936;1,3227513227513228;0,0;2,1164021164021163;1,5873015873015872;1,0582010582010581;0,0;0,0;0,0;0,0;0,0;0,26455026455026454;0,0;0,0;0,7936507936507936;0,7936507936507936
week_5;78,79656160458453;3,4383954154727796;28,653295128939828;1,146131805157593;15,759312320916905;11,461318051575931;11,174785100286533;0,0;0,8595988538681949;0,0;0,28653295128939826;0,0;0,28653295128939826;2,5787965616045847;0,5730659025787965;2,292263610315186;0,8595988538681949;2,5787965616045847;0,0;0,28653295128939826;0,0;0,0;0,5730659025787965;0,5730659025787965;0,8595988538681949;0,28653295128939826;0,0;0,28653295128939826
week_6;56,44444444444444;4,888888888888889;25,77777777777778;0,4444444444444444;16,444444444444446;2,666666666666667;11,11111111111111;0,0;1,7777777777777777;0,0;0,4444444444444444;0,0;0,0;1,3333333333333335;0,0;2,2222222222222223;0,4444444444444444;1,7777777777777777;0,0;0,0;0,0;0,0;0,4444444444444444;0,8888888888888888;0,8888888888888888;0,0;0,0;0,0
week_7;48,44006568144499;1,477832512315271;15,270935960591133;0,16420361247947454;7,55336617405583;4,761904761904762;9,0311986863711;0,0;0,16420361247947454;0,0;0,0;0,16420361247947454;0,16420361247947454;1,3136288998357963;0,0;1,9704433497536946;0,3284072249589491;1,3136288998357963;0,0;0,0;0,0;0,0;0,0;0,9852216748768473;0,9852216748768473;0,3284072249589491;0,3284072249589491;0,0
week_8;49,36386768447837;3,307888040712468;20,610687022900763;0,7633587786259541;10,687022900763358;3,816793893129771;5,597964376590331;0,0;0,2544529262086514;0,0;0,0;0,2544529262086514;0,5089058524173028;2,2900763358778624;0,0;1,5267175572519083;0,5089058524173028;0,2544529262086514;0,0;0,2544529262086514;0,0;0,0;0,7633587786259541;0,0;0,0;0,2544529262086514;0,0;0,0
week_9;49,89429175475687;2,9598308668076108;14,587737843551796;0,8456659619450317;8,668076109936575;10,993657505285412;10,782241014799155;0,0;0,8456659619450317;0,0;0,0;0,21141649048625794;0,6342494714587738;0,42283298097251587;0,0;0,6342494714587738;0,21141649048625794;1,2684989429175475;0,0;0,0;0,0;0,0;0,42283298097251587;1,2684989429175475;1,0570824524312896;0,6342494714587738;0,8456659619450317;0,42283298097251587
week_10;43,69918699186992;2,642276422764228;18,29268292682927;0,0;10,16260162601626;2,8455284552845526;1,6260162601626018;0,8130081300813009;0,8130081300813009;0,0;0,6097560975609756;0,0;0,0;2,642276422764228;0,0;2,642276422764228;0,20325203252032523;0,40650406504065045;0,0;0,0;0,0;0,0;0,0;0,20325203252032523;0,20325203252032523;0,8130081300813009;0,0;0,0
week_11;54,88721804511278;3,508771929824561;20,80200501253133;1,0025062656641603;16,290726817042607;5,764411027568922;6,015037593984962;0,2506265664160401;2,2556390977443606;0,0;0,7518796992481203;0,0;0,5012531328320802;1,5037593984962405;0,0;2,0050125313283207;0,2506265664160401;2,0050125313283207;0,2506265664160401;0,0;0,0;0,0;0,2506265664160401;1,5037593984962405;0,5012531328320802;0,5012531328320802;1,0025062656641603;0,7518796992481203
week_12;56,334231805929925;4,5822102425876015;21,293800539083556;0,5390835579514826;19,67654986522911;6,738544474393531;3,234501347708895;0,0;2,964959568733154;0,0;1,078167115902965;0,5390835579514826;0,0;1,3477088948787064;0,0;5,121293800539084;1,078167115902965;1,078167115902965;0,0;0,0;0,0;0,0;0,2695417789757413;0,0;0,2695417789757413;0,0;0,5390835579514826;0,0
week_13;54,50733752620545;2,515723270440252;17,61006289308176;0,0;11,320754716981133;11,740041928721174;10,482180293501047;0,41928721174004197;0,41928721174004197;0,0;0,41928721174004197;0,20964360587002098;0,41928721174004197;2,9350104821802936;0,20964360587002098;3,563941299790356;1,257861635220126;2,3060796645702304;0,0;0,20964360587002098;0,0;0,0;0,41928721174004197;0,628930817610063;0,41928721174004197;1,257861635220126;0,628930817610063;0,0
