;word;frequency;category;;Colors
2;climate;6027;climate;;climate
11;xr;2821;climate;;covid
28;fossil_fuel;1773;climate;;urgency
29;extinctionrebellion;1762;climate;;agency
32;climate_change;1746;climate;;possibility
34;climateemergency;1673;climate;;
43;planet;1414;climate;;health
56;extinction_rebellion;1222;climate;;social
81;climatecrisis;892;climate;;
83;nature;891;climate;;
94;oil;825;climate;;
99;emission;791;climate;;
115;earth;729;climate;;
118;green;724;climate;;
129;coal;688;climate;;
131;australia;686;climate;;
134;climatechange;664;climate;;
141;rebellion;621;climate;;
147;wildlife;609;climate;;
157;climate_emergency;575;climate;;
162;environment;561;climate;;
164;environmental;557;climate;;
173;energy;538;climate;;
175;carbon;531;climate;;
181;fire;524;climate;;
189;water;504;climate;;
190;plant;503;climate;;
202;land;476;climate;;
214;forest;461;climate;;
220;flood;455;climate;;
221;animal;455;climate;;
265;specie;390;climate;;
286;biodiversity;372;climate;;
288;air_pollution;369;climate;;
298;extinction;360;climate;;
303;air;354;climate;;
331;ecocide;326;climate;;
332;plastic;324;climate;;
338;fuel;316;climate;;
348;oil_gas;310;climate;;
354;climateaction;307;climate;;
357;waste;305;climate;;
362;gas;301;climate;;
363;sustainable;301;climate;;
369;traffic;298;climate;;
372;tellthetruth;296;climate;;
373;bee;295;climate;;
375;ocean;291;climate;;
379;pollution;289;climate;;
384;earthday;286;climate;;
391;bike;282;climate;;
394;ban;281;climate;;
398;warm;280;climate;;
410;climatestrike;272;climate;;
421;climatejustice;267;climate;;
428;humanity;262;climate;;
432;hot;261;climate;;
458;temperature;248;climate;;
460;ancient_woodland;248;climate;;
472;carbon_emission;240;climate;;
474;natural;240;climate;;
496;ecological_emergency;232;climate;;
513;renewable;226;climate;;
526;rebelforlife;223;climate;;
533;indigenous;221;climate;;
537;citizen_assembly;219;climate;;
539;ecosystem;218;climate;;
543;fossilfuel;217;climate;;
588;climate_breakdown;203;climate;;
592;ecological;200;climate;;
607;australian;196;climate;;
623;generation;192;climate;;
627;eco;192;climate;;
629;enoughisenough;190;climate;;
639;habitat;185;climate;;
649;weather;183;climate;;
655;wild;183;climate;;
667;wood;181;climate;;
668;democracy;181;climate;;
684;wind;178;climate;;
696;flooding;174;climate;;
701;non_violent;172;climate;;
703;clean_air;172;climate;;
708;ge;170;climate;;
709;farmer;170;climate;;
721;heat;167;climate;;
738;drought;163;climate;;
739;toxic;163;climate;;
748;climatebreakdown;161;climate;;
759;polluter;158;climate;;
763;citizensassembly;157;climate;;
777;decidetogether;156;climate;;
779;pollute;155;climate;;
784;ecological_crisis;154;climate;;
793;ecologicalemergency;151;climate;;
795;deforestation;151;climate;;
806;greenhouse_gas;150;climate;;
811;global_warming;149;climate;;
830;climateelection;147;climate;;
869;airpollution;141;climate;;
891;soil;137;climate;;
920;fossil;132;climate;;
927;anti;131;climate;;
928;capitalism;131;climate;;
945;atmosphere;129;climate;;
950;electionrebellion;128;climate;;
952;solar;128;climate;;
954;declare_climateemergency;128;climate;;
973;future_generation;125;climate;;
976;fridaysforfuture;125;climate;;
982;paris_agreement;124;climate;;
988;bushfire;124;climate;;
997;consumption;122;climate;;
1002;life_earth;121;climate;;
1012;tell_truth;120;climate;;
1017;air_quality;119;climate;;
1033;sustainability;117;climate;;
1063;daysofcrisis;113;climate;;
1065;greta_thunberg;113;climate;;
1086;threedemandsbill;111;climate;;
1101;carbon_neutral;110;climate;;
1103;civil_disobedience;109;climate;;
1111;cycle_lane;109;climate;;
1112;co_emission;108;climate;;
1132;renewable_energy;106;climate;;
1146;plant_tree;104;climate;;
1150;indigenous_people;104;climate;;
1165;drax_power;102;climate;;
1185;decarbonise;100;climate;;
1198;cop_pollutersout;99;climate;;
1199;changeisnow;99;climate;;
1222;mass_extinction;96;climate;;
1234;warming;95;climate;;
1242;school_strike;94;climate;;
1244;head_extinction;94;climate;;
1268;oil_company;92;climate;;
1270;stop_fund;92;climate;;
1278;rainforest;91;climate;;
1285;nogoingback_anotherworldispossible;91;climate;;
1302;climateassemblyuk;89;climate;;
1305;support_threedemandsbill;88;climate;;
1307;fracke;88;climate;;
1310;sea_level;88;climate;;
1311;drill;88;climate;;
1318;pollutersout;88;climate;;
1324;power_station;88;climate;;
1333;greener;87;climate;;
1347;greennewdeal;86;climate;;
1351;bpmustfall;86;climate;;
1349;greenwashe;86;climate;;
1368;actnow_tellthetruth;84;climate;;
1405;xr_youth;81;climate;;
1413;rigrebellion;81;climate;;
1416;save_planet;80;climate;;
1435;greenpeace;79;climate;;
1454;bike_lane;78;climate;;
1455;tree_protector;78;climate;;
1461;regenerative_culture;77;climate;;
1462;climateactionnow;77;climate;;
1469;extreme_weather;77;climate;;
1481;recycle;76;climate;;
1496;rebelradio;75;climate;;
1508;australian_embassy;75;climate;;
1543;keepitintheground;73;climate;;
1544;pipeline;73;climate;;
1547;climatestrikeonline;73;climate;;
1552;biodiversity_loss;72;climate;;
1562;regenerative;72;climate;;
1568;upgradedemocracy;71;climate;;
1593;extinct;70;climate;;
1603;destroy_planet;70;climate;;
1605;high_carbon;70;climate;;
1619;zero_carbon;68;climate;;
1635;car_free;68;climate;;
1643;drilling;67;climate;;
1668;clima;66;climate;;
1675;exxon;66;climate;;
1689;nonviolent;65;climate;;
1697;greenwash;64;climate;;
1719;diesel;64;climate;;
1732;schoolstrike_climate;63;climate;;
1762;enoughisenough_march;62;climate;;
1781;carbon_dioxide;61;climate;;
1782;global_south;60;climate;;
1783;road_building;60;climate;;
1795;pesticide;60;climate;;
1811;climatekindness;60;climate;;
1815;low_carbon;59;climate;;
1825;stopbristolairportexpansion;59;climate;;
1830;climatekindness_day;59;climate;;
1841;rainfall;58;climate;;
1842;earth_protector;58;climate;;
1845;green_space;58;climate;;
1857;reclaim_street;58;climate;;
1858;demand_shell;58;climate;;
1872;april_rebellion;57;climate;;
1878;exploitation;57;climate;;
1889;green_recovery;57;climate;;
1894;oil_drilling;56;climate;;
1896;polluted;56;climate;;
1921;peaceful_protest;55;climate;;
1928;carbon_footprint;55;climate;;
1934;heathrow_expansion;55;climate;;
1949;everybodynow;54;climate;;
1965;regeneration;54;climate;;
1969;wildflower;54;climate;;
1985;citizensassemblie;53;climate;;
1993;carbon_budget;52;climate;;
1995;tackle_climatecrisis;52;climate;;
2045;ecology;51;climate;;
2065;pollute_industry;51;climate;;
2069;construction_site;51;climate;;
2076;ecocide_law;50;climate;;
2123;tropical;49;climate;;
2185;voteclimate;47;climate;;
2202;extinctionunderground;47;climate;;
2213;global_heating;46;climate;;
2214;zerocarbon;46;climate;;
2236;mother_earth;46;climate;;
2241;biodiversityday;46;climate;;
2272;eco_fascism;45;climate;;
2279;humansofxr;45;climate;;
2288;big_polluter;44;climate;;
2308;house_fire;44;climate;;
2310;ecological_breakdown;44;climate;;
2304;regenerativeculture;44;climate;;
2343;recycling;43;climate;;
2345;single_use;43;climate;;
2347;ecologicalcrisis;43;climate;;
2353;solar_panel;43;climate;;
2356;unsustainable;43;climate;;
2357;pollinator;43;climate;;
2358;gardening;43;climate;;
2399;fuel_company;42;climate;;
2401;fossilbanksnothank;42;climate;;
2402;destruction_natural;41;climate;;
2416;brave_rebel;41;climate;;
2451;sunflow;41;climate;;
2458;kick_pollutersout;41;climate;;
2485;environmentally;40;climate;;
2490;letterstotheearth;40;climate;;
2497;industry_steal;40;climate;;
2499;withdraw_involvement;40;climate;;
2503;nogoingback_decidetogether;40;climate;;
2506;hunger_strike;39;climate;;
2517;gretathunberg;39;climate;;
2531;permafrost;39;climate;;
2570;ecocidal;38;climate;;
2580;lifestyle;38;climate;;
2591;stopadani;38;climate;;
2596;fossilfree;38;climate;;
2604;exert_fossil;38;climate;;
2640;zero_emission;37;climate;;
2653;greenrecovery;37;climate;;
2656;planetary_emergency;36;climate;;
2682;temperature_rise;36;climate;;
2684;sea_ice;36;climate;;
2689;glyphosate;36;climate;;
2709;siberia;36;climate;;
2726;ecologicalbreakdown;35;climate;;
2735;heading_extinction;35;climate;;
2737;toxic_air;35;climate;;
2750;drill_oil;35;climate;;
2754;ecological_collapse;35;climate;;
2759;oil_spill;35;climate;;
2766;paintthestreets;35;climate;;
2767;cyclist_pedestrian;35;climate;;
