;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;join;1099.0;0.720523444875695;4931.0;0.8500566302176082
1;fight;744.0;0.48777929298227213;2352.0;0.40546201465662435
2;support;576.0;0.37763558166369454;2427.0;0.41839128808317483
3;vote;468.0;0.30682891010175184;2219.0;0.38253410311354147
4;strike;258.0;0.16914927095352986;819.0;0.14118766581793168
5;action;255.0;0.1671824189656981;820.0;0.14136005613028568
6;demand;250.0;0.16390433231931187;1629.0;0.28082381882467733
7;protest;207.0;0.13571278716039023;723.0;0.12463819583194702
8;act;130.0;0.08523025280604217;456.0;0.07860998243342716
9;donate;115.0;0.07539599286688345;744.0;0.12825839239138118
10;activist;106.0;0.06949543690338823;272.0;0.04689016496028989
11;voting;54.0;0.035403335780971365;248.0;0.04275279746379372
12;rise;53.0;0.034747718451694116;139.0;0.023962253417206966
13;abolish;31.0;0.02032413720759467;137.0;0.023617472792498952
14;build_movement;26.0;0.017046050561208434;99.0;0.01706664092304669
15;demonstration;26.0;0.017046050561208434;36.0;0.00620605124474425
16;grassroots;20.0;0.013112346585544948;81.0;0.013963615300674562
17;trysocialism;19.0;0.012456729256267701;78.0;0.013446444363612541
18;occupy;17.0;0.011145494597713208;50.0;0.008619515617700349
19;mass_movement;14.0;0.009178642609881464;43.0;0.007412783431222299
20;build_mass;14.0;0.009178642609881464;57.0;0.009826247804178396
21;grassroot;11.0;0.007211790622049722;35.0;0.006033660932390244
22;organize_workplace;8.0;0.0052449386342179796;125.0;0.02154878904425087
23;unionize;6.0;0.003933703975663484;56.0;0.009653857491824389
24;unleash;3.0;0.001966851987831742;4.0;0.0006895612494160279
25;democratizecome;2.0;0.0013112346585544949;31.0;0.005344099682974215
26;collective_action;2.0;0.0013112346585544949;36.0;0.00620605124474425
27;everybodyorganize;1.0;0.0006556173292772474;6.0;0.0010343418741240416
28;unstoppable;1.0;0.0006556173292772474;19.0;0.0032754159347261323
29;hunger_strike;1.0;0.0006556173292772474;40.0;0.006895612494160278
30;riseup;1.0;0.0006556173292772474;2.0;0.00034478062470801393
31;condemn_public;0.0;0.0;64.0;0.011032979990656446
32;votesocialist;0.0;0.0;37.0;0.006378441557098257
33;crowdsource;0.0;0.0;2.0;0.00034478062470801393
34;jointhemovement;0.0;0.0;1.0;0.00017239031235400697
35;hungerstrike;0.0;0.0;1.0;0.00017239031235400697
Total;joinfightsupportvotestrikeactiondemandprotestactdonateactivistvotingriseabolishbuild_movementdemonstrationgrassrootstrysocialismoccupymass_movementbuild_massgrassrootorganize_workplaceunionizeunleashdemocratizecomecollective_actioneverybodyorganizeunstoppablehunger_strikeriseupcondemn_publicvotesocialistcrowdsourcejointhemovementhungerstrike;4518.0;2.962079093674604;18819.0;3.2442132881900574
