;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;join;151.0;0.729292441439266;145.0;0.6633726781956263;139.0;0.648320895522388;43.0;0.38167938931297707;181.0;0.8118412200044852;226.0;0.8771929824561403;214.0;0.7328767123287672;157.0;0.6539759236889241;140.0;0.6632556376729202;309.0;0.8953926398145465;268.0;1.0028063610851263;235.0;0.7078739683113441;209.0;0.5830822452851244;308.0;0.7865570253843404;334.0;0.7741157928892598;219.0;0.45719296048099206;258.0;0.658331206940546;157.0;0.531734742261058;526.0;1.785835540164324;325.0;1.3205477225630817;276.0;1.128280598479274;337.0;1.137168888139025;209.0;1.083743842364532;257.0;1.2362901674042717;165.0;0.9402245142173342;242.0;0.6052723725676554
1;fight;116.0;0.560251147065926;113.0;0.516973190593833;80.0;0.3731343283582089;67.0;0.5947097461388248;134.0;0.6010316214397846;96.0;0.37261294829995345;138.0;0.4726027397260274;87.0;0.36239430166201525;63.0;0.29846503695281407;159.0;0.4607360185453492;121.0;0.45275958840037417;144.0;0.4337610699439725;110.0;0.3068853922553287;241.0;0.6154553347974872;185.0;0.4287767116302786;140.0;0.29226947245360224;126.0;0.32151058943608063;76.0;0.2574002574002574;233.0;0.7910640320499762;62.0;0.25191987322741866;100.0;0.40879731828959204;118.0;0.39817783026826387;66.0;0.3422348975887996;100.0;0.4810467577448528;71.0;0.40458145763291353;150.0;0.37516882597168727
2;support;92.0;0.44433711663849307;64.0;0.2927989752035868;81.0;0.37779850746268656;21.0;0.18640156222261672;62.0;0.27808925768109444;124.0;0.4812917248874398;132.0;0.452054794520548;86.0;0.3582288499187737;87.0;0.41216600341102905;118.0;0.3419298753984352;90.0;0.33676333021515437;126.0;0.37954093620097595;189.0;0.527284901238701;188.0;0.48010623627355836;152.0;0.3522922171232559;191.0;0.39873906599027165;135.0;0.3444756315386578;126.0;0.42674253200568996;89.0;0.30216608949548446;93.0;0.37787980984112796;105.0;0.42923718420407164;151.0;0.5095326472076936;81.0;0.4200155561317086;96.0;0.4618048874350587;102.0;0.5812296996979884;222.0;0.5552498624380972
3;strike;82.0;0.39603960396039606;31.0;0.14182450361423735;23.0;0.10727611940298508;24.0;0.21303035682584767;25.0;0.1121327651939897;46.0;0.1785437043937277;27.0;0.09246575342465753;26.0;0.10830174532428041;35.0;0.16581390941823004;30.0;0.08693132425383947;19.0;0.07109448082319926;28.0;0.08434243026688355;34.0;0.09485548487891976;38.0;0.09704274988508095;33.0;0.07648449450702267;39.0;0.08141792446921776;53.0;0.13523858127073232;140.0;0.474158368895211;39.0;0.13240985944184153;27.0;0.10970704156677909;37.0;0.15125500776714904;150.0;0.5061582588155896;14.0;0.07259528130671505;18.0;0.0865884163940735;23.0;0.1310615989515072;36.0;0.09004051823320494
4;demand;45.0;0.21733880705143688;23.0;0.10522463171378901;48.0;0.22388059701492538;10.0;0.08876264867743654;37.0;0.16595649248710473;50.0;0.19406924390622574;37.0;0.1267123287671233;25.0;0.10413629358103887;20.0;0.09475080538184574;24.0;0.06954505940307157;33.0;0.1234798877455566;33.0;0.09940357852882703;48.0;0.13391362571141616;35.0;0.0893814801573114;73.0;0.16919297269735317;242.0;0.505208659526941;185.0;0.4720591987751978;161.0;0.5452821242294926;100.0;0.3395124601072859;76.0;0.3088050058916744;106.0;0.43332515738696753;141.0;0.47578876328665426;86.0;0.44594244231267827;47.0;0.2260919761400808;60.0;0.34189982335175795;134.0;0.3351508178680406
5;vote;36.0;0.1738710456411495;106.0;0.48494830268094063;71.0;0.33115671641791045;31.0;0.2751642109000532;46.0;0.20632428795694102;91.0;0.35320602390933087;87.0;0.2979452054794521;48.0;0.19994168367559462;83.0;0.3932158423346598;180.0;0.5215879455230368;121.0;0.45275958840037417;196.0;0.5903970118681848;177.0;0.493806494810847;380.0;0.9704274988508096;195.0;0.45195383117786125;213.0;0.4446671259472662;46.0;0.11737688185761673;68.0;0.23030549346338822;123.0;0.4176003259319617;82.0;0.3331843484620698;49.0;0.20031068596190008;43.0;0.14509870086046905;33.0;0.1711174487943998;55.0;0.264575716759669;49.0;0.2792181890706023;78.0;0.1950877895052774
6;action;28.0;0.1352330354986718;29.0;0.13267453563912526;32.0;0.1492537313432836;8.0;0.07101011894194922;49.0;0.21978021978021978;58.0;0.22512032293122186;51.0;0.17465753424657535;31.0;0.1291290040404882;29.0;0.13738866780367634;21.0;0.060851926977687626;24.0;0.08980355472404115;36.0;0.10844026748599313;15.0;0.041848008034817544;24.0;0.061290157822156396;46.0;0.10661474991888009;67.0;0.1398718189599382;64.0;0.16330696606277112;42.0;0.1422475106685633;35.0;0.11882936103755008;33.0;0.13408638413717444;70.0;0.2861581228027144;93.0;0.3138181204656656;31.0;0.16074669432201194;35.0;0.16836636521069848;36.0;0.20513989401105473;88.0;0.22009904457005652
7;protest;24.0;0.11591403042743298;18.0;0.08234971177600879;13.0;0.06063432835820895;11.0;0.0976389135451802;77.0;0.3453689167974882;46.0;0.1785437043937277;18.0;0.06164383561643835;25.0;0.10413629358103887;15.0;0.07106310403638431;17.0;0.04926108374384236;28.0;0.10477081384471468;27.0;0.08133020061449485;23.0;0.0641669456533869;28.0;0.07150518412584912;11.0;0.02549483150234089;12.0;0.025051669067451616;17.0;0.04337841286042358;19.0;0.06435006435006435;15.0;0.0509268690160929;21.0;0.08532769899638373;41.0;0.16760690049873272;47.0;0.15859625442888478;25.0;0.12963443090484833;14.0;0.06734654608427938;9.0;0.05128497350276368;329.0;0.8228702916312342
8;activist;23.0;0.11108427915962327;22.0;0.10064964772623297;16.0;0.0746268656716418;7.0;0.062133854074205574;11.0;0.04933841668535546;10.0;0.03881384878124514;17.0;0.05821917808219178;14.0;0.058316324405381766;15.0;0.07106310403638431;12.0;0.034772529701535784;13.0;0.04864359214218896;15.0;0.04518344478583047;9.0;0.025108804820890524;14.0;0.03575259206292456;16.0;0.0370833912761322;8.0;0.01670111271163441;15.0;0.038275070170961975;10.0;0.0338684549210865;11.0;0.037346370611801454;19.0;0.0772012514729186;18.0;0.07358351729212656;22.0;0.07423654462628648;6.0;0.0311122634171636;24.0;0.11545122185876468;9.0;0.05128497350276368;22.0;0.05502476114251413
9;donate;16.0;0.07727602028495532;14.0;0.06404977582578461;14.0;0.06529850746268658;6.0;0.05325758920646192;27.0;0.12110338640950885;16.0;0.06210215804999224;22.0;0.07534246575342465;23.0;0.09580539009455576;21.0;0.09948834565093805;18.0;0.05215879455230368;25.0;0.09354536950420954;34.0;0.10241580818121573;26.0;0.0725365472603504;23.0;0.05873640124623321;30.0;0.06953135864274787;56.0;0.11690778898144089;40.0;0.10206685378923194;27.0;0.09144482828693355;35.0;0.11882936103755008;61.0;0.24785664946568609;35.0;0.1430790614013572;30.0;0.10123165176311794;31.0;0.16074669432201194;32.0;0.1539349624783529;24.0;0.13675992934070316;173.0;0.43269471262067927
