;social-social;social-covid;social-health;social-climate;social-urgency;social-agency;social-possibility;covid-covid;covid-health;covid-climate;covid-urgency;covid-agency;covid-possibility;health-health;health-climate;health-urgency;health-agency;health-possibility;climate-climate;climate-urgency;climate-agency;climate-possibility;urgency-urgency;urgency-agency;urgency-possibility;agency-agency;agency-possibility;possibility-possibility
week_1;93,0;5,0;35,0;39,0;63,0;145,0;42,0;1,0;9,0;2,0;2,0;2,0;4,0;15,0;5,0;31,0;38,0;17,0;38,0;26,0;83,0;18,0;12,0;40,0;14,0;80,0;23,0;6,0
week_2;86,0;6,0;47,0;35,0;85,0;143,0;56,0;4,0;18,0;1,0;6,0;16,0;0,0;20,0;8,0;23,0;35,0;19,0;34,0;15,0;25,0;13,0;13,0;45,0;33,0;51,0;63,0;12,0
week_3;89,0;4,0;36,0;32,0;69,0;160,0;40,0;5,0;2,0;0,0;1,0;7,0;0,0;40,0;9,0;17,0;32,0;10,0;10,0;13,0;16,0;19,0;10,0;36,0;24,0;62,0;38,0;10,0
week_4;64,0;6,0;5,0;21,0;54,0;64,0;26,0;0,0;0,0;23,0;0,0;1,0;1,0;7,0;4,0;5,0;11,0;1,0;22,0;51,0;24,0;9,0;5,0;25,0;23,0;12,0;20,0;4,0
week_5;49,0;7,0;18,0;21,0;53,0;92,0;52,0;0,0;1,0;1,0;3,0;8,0;1,0;10,0;6,0;10,0;20,0;12,0;20,0;18,0;30,0;13,0;16,0;56,0;21,0;77,0;67,0;12,0
week_6;123,0;12,0;28,0;42,0;64,0;144,0;38,0;0,0;4,0;2,0;4,0;3,0;1,0;21,0;9,0;12,0;26,0;20,0;27,0;30,0;45,0;22,0;26,0;70,0;36,0;70,0;34,0;9,0
week_7;140,0;21,0;92,0;46,0;87,0;183,0;47,0;0,0;0,0;11,0;4,0;9,0;1,0;29,0;21,0;19,0;54,0;11,0;42,0;23,0;45,0;20,0;19,0;43,0;18,0;81,0;45,0;4,0
week_8;124,0;13,0;56,0;12,0;75,0;110,0;58,0;0,0;7,0;2,0;3,0;7,0;2,0;23,0;3,0;16,0;42,0;22,0;10,0;12,0;14,0;14,0;13,0;42,0;18,0;44,0;39,0;8,0
week_9;101,0;21,0;24,0;21,0;56,0;105,0;45,0;0,0;4,0;2,0;0,0;20,0;7,0;13,0;7,0;17,0;29,0;19,0;15,0;31,0;16,0;22,0;3,0;45,0;15,0;54,0;39,0;6,0
week_10;112,0;13,0;38,0;28,0;96,0;190,0;102,0;0,0;10,0;1,0;3,0;13,0;10,0;26,0;18,0;10,0;35,0;25,0;15,0;19,0;47,0;28,0;16,0;72,0;44,0;59,0;96,0;22,0
