;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;climate;196;0.24064138295129467;520;0.6384363221156797
1;green_new;139;0.17065893995015285;475;0.5831870250095151
2;energy;101;0.12400397794939165;330;0.40516151211187373
3;greennewdeal;146;0.17925327505555624;253;0.3106238259524365
4;fossil_fuel;111;0.13628159952853933;255;0.31307935026826605
5;climate_change;125;0.15347026973934608;208;0.25537452884627193
6;planet;46;0.056477059264079366;190;0.23327481000380607
7;climate_crisis;58;0.07121020515905659;163;0.20012523174010732
8;earth;36;0.044199437684931675;151;0.18539208584513006
9;green;49;0.06016034573782367;122;0.1497869832656018
10;ecosocialist;42;0.051566010632420285;98;0.12032069147564733
11;environmental;40;0.04911048631659075;97;0.11909292931773256
12;ecosocialism;32;0.0392883890532726;61;0.0748934916328009
13;carbon;29;0.03560510257952829;54;0.06629915652739751
14;emission;23;0.028238529632039683;39;0.04788272415867598
15;earth_day;2;0.0024555243158295376;54;0.06629915652739751
16;earthday;0;0.0;56;0.06875468084322704
17;environmental_justice;18;0.022099718842465838;40;0.04911048631659075
18;sustainable;10;0.012277621579147687;42;0.051566010632420285
19;save_planet;29;0.03560510257952829;21;0.025783005316210143
20;fossil;10;0.012277621579147687;33;0.04051615121118737
21;fracke_gas;4;0.004911048631659075;30;0.03683286473744306
22;oil_gas;2;0.0024555243158295376;30;0.03683286473744306
23;climatestrike;27;0.033149578263698756;4;0.004911048631659075
24;new_deal;3;0.0036832864737443064;28;0.03437734042161352
25;natural_gas;7;0.00859433510540338;20;0.024555243158295374
26;renewable_energy;6;0.007366572947488613;21;0.025783005316210143
27;fuel_industry;0;0.0;25;0.03069405394786922
28;ecological;4;0.004911048631659075;19;0.023327481000380606
29;ecofascism;3;0.0036832864737443064;19;0.023327481000380606
30;greenstimulus;0;0.0;19;0.023327481000380606
31;climateemergency;12;0.014733145894977226;5;0.0061388107895738436
32;decarbonize;6;0.007366572947488613;11;0.013505383737062455
33;climatecrisis;3;0.0036832864737443064;12;0.014733145894977226
34;environmentalist;1;0.0012277621579147688;14;0.01718867021080676
35;ecology;5;0.0061388107895738436;8;0.00982209726331815
36;greennew;8;0.00982209726331815;6;0.007366572947488613
37;sustainability;4;0.004911048631659075;9;0.011049859421232919
38;vegan;4;0.004911048631659075;9;0.011049859421232919
39;unsustainable;4;0.004911048631659075;7;0.00859433510540338
40;climat;4;0.004911048631659075;5;0.0061388107895738436
41;energydemocracy;4;0.004911048631659075;5;0.0061388107895738436
42;greenwashe;0;0.0;9;0.011049859421232919
43;dallasclimateaction;0;0.0;8;0.00982209726331815
44;ecosoc;2;0.0024555243158295376;6;0.007366572947488613
45;ecosystem;0;0.0;8;0.00982209726331815
46;nonbkpipeline;0;0.0;8;0.00982209726331815
47;climatechange;0;0.0;7;0.00859433510540338
48;climatejustice;4;0.004911048631659075;3;0.0036832864737443064
49;decarbonise;6;0.007366572947488613;1;0.0012277621579147688
50;climatebanner;6;0.007366572947488613;0;0.0
