;word;df_week_1;pecent_rdf_week_1;df_week_2;pecent_rdf_week_2;df_week_3;pecent_rdf_week_3;df_week_4;pecent_rdf_week_4;df_week_5;pecent_rdf_week_5;df_week_6;pecent_rdf_week_6;df_week_7;pecent_rdf_week_7;df_week_8;pecent_rdf_week_8;df_week_9;pecent_rdf_week_9;df_week_10;pecent_rdf_week_10;df_week_11;pecent_rdf_week_11;df_week_12;pecent_rdf_week_12;df_week_13;pecent_rdf_week_13;df_week_14;pecent_rdf_week_14;df_week_15;pecent_rdf_week_15;df_week_16;pecent_rdf_week_16;df_week_17;pecent_rdf_week_17;df_week_18;pecent_rdf_week_18;df_week_19;pecent_rdf_week_19;df_week_20;pecent_rdf_week_20;df_week_21;pecent_rdf_week_21;df_week_22;pecent_rdf_week_22;df_week_23;pecent_rdf_week_23;df_week_24;pecent_rdf_week_24;df_week_25;pecent_rdf_week_25;df_week_26;pecent_rdf_week_26
0;climate;46;0,056477059264079366;23;0,028238529632039683;23;0,028238529632039683;18;0,022099718842465838;17;0,02087195668455107;37;0,04542719984284644;32;0,0392883890532726;15;0,01841643236872153;24;0,02946629178995445;30;0,03683286473744306;22;0,02701076747412491;60;0,07366572947488612;22;0,02701076747412491;82;0,10067649694901104;51;0,0626158700536532;26;0,03192181610578399;10;0,012277621579147687;9;0,011049859421232919;29;0,03560510257952829;6;0,007366572947488613;52;0,06384363221156798;26;0,03192181610578399;19;0,023327481000380606;19;0,023327481000380606;8;0,00982209726331815;10;0,012277621579147687
1;green_new;18;0,022099718842465838;11;0,013505383737062455;18;0,022099718842465838;19;0,023327481000380606;24;0,02946629178995445;17;0,02087195668455107;32;0,0392883890532726;27;0,033149578263698756;20;0,024555243158295374;27;0,033149578263698756;40;0,04911048631659075;60;0,07366572947488612;36;0,044199437684931675;55;0,06752691868531228;22;0,02701076747412491;23;0,028238529632039683;6;0,007366572947488613;8;0,00982209726331815;28;0,03437734042161352;12;0,014733145894977226;18;0,022099718842465838;25;0,03069405394786922;14;0,01718867021080676;25;0,03069405394786922;12;0,014733145894977226;17;0,02087195668455107
2;energy;5;0,0061388107895738436;21;0,025783005316210143;11;0,013505383737062455;8;0,00982209726331815;10;0,012277621579147687;22;0,02701076747412491;24;0,02946629178995445;6;0,007366572947488613;9;0,011049859421232919;20;0,024555243158295374;25;0,03069405394786922;27;0,033149578263698756;16;0,0196441945266363;50;0,06138810789573844;28;0,03437734042161352;9;0,011049859421232919;19;0,023327481000380606;2;0,0024555243158295376;27;0,033149578263698756;10;0,012277621579147687;22;0,02701076747412491;14;0,01718867021080676;13;0,015960908052891996;11;0,013505383737062455;10;0,012277621579147687;12;0,014733145894977226
3;greennewdeal;20;0,024555243158295374;13;0,015960908052891996;13;0,015960908052891996;48;0,0589325835799089;7;0,00859433510540338;23;0,028238529632039683;22;0,02701076747412491;2;0,0024555243158295376;10;0,012277621579147687;9;0,011049859421232919;17;0,02087195668455107;52;0,06384363221156798;17;0,02087195668455107;17;0,02087195668455107;13;0,015960908052891996;13;0,015960908052891996;3;0,0036832864737443064;1;0,0012277621579147688;10;0,012277621579147687;10;0,012277621579147687;25;0,03069405394786922;3;0,0036832864737443064;28;0,03437734042161352;9;0,011049859421232919;3;0,0036832864737443064;11;0,013505383737062455
4;fossil_fuel;28;0,03437734042161352;14;0,01718867021080676;7;0,00859433510540338;10;0,012277621579147687;11;0,013505383737062455;11;0,013505383737062455;30;0,03683286473744306;12;0,014733145894977226;12;0,014733145894977226;5;0,0061388107895738436;9;0,011049859421232919;29;0,03560510257952829;19;0,023327481000380606;32;0,0392883890532726;16;0,0196441945266363;10;0,012277621579147687;9;0,011049859421232919;4;0,004911048631659075;8;0,00982209726331815;5;0,0061388107895738436;43;0,05279377279033506;11;0,013505383737062455;6;0,007366572947488613;10;0,012277621579147687;6;0,007366572947488613;9;0,011049859421232919
5;climate_change;17;0,02087195668455107;7;0,00859433510540338;25;0,03069405394786922;16;0,0196441945266363;15;0,01841643236872153;12;0,014733145894977226;33;0,04051615121118737;3;0,0036832864737443064;19;0,023327481000380606;14;0,01718867021080676;7;0,00859433510540338;24;0,02946629178995445;22;0,02701076747412491;15;0,01841643236872153;20;0,024555243158295374;22;0,02701076747412491;7;0,00859433510540338;2;0,0024555243158295376;7;0,00859433510540338;10;0,012277621579147687;13;0,015960908052891996;3;0,0036832864737443064;4;0,004911048631659075;5;0,0061388107895738436;6;0,007366572947488613;5;0,0061388107895738436
6;planet;13;0,015960908052891996;7;0,00859433510540338;2;0,0024555243158295376;4;0,004911048631659075;7;0,00859433510540338;3;0,0036832864737443064;10;0,012277621579147687;8;0,00982209726331815;8;0,00982209726331815;13;0,015960908052891996;3;0,0036832864737443064;15;0,01841643236872153;5;0,0061388107895738436;16;0,0196441945266363;13;0,015960908052891996;11;0,013505383737062455;3;0,0036832864737443064;10;0,012277621579147687;14;0,01718867021080676;15;0,01841643236872153;20;0,024555243158295374;16;0,0196441945266363;4;0,004911048631659075;3;0,0036832864737443064;4;0,004911048631659075;9;0,011049859421232919
7;climate_crisis;12;0,014733145894977226;4;0,004911048631659075;10;0,012277621579147687;4;0,004911048631659075;9;0,011049859421232919;6;0,007366572947488613;13;0,015960908052891996;2;0,0024555243158295376;7;0,00859433510540338;11;0,013505383737062455;3;0,0036832864737443064;25;0,03069405394786922;4;0,004911048631659075;17;0,02087195668455107;21;0,025783005316210143;12;0,014733145894977226;3;0,0036832864737443064;4;0,004911048631659075;4;0,004911048631659075;2;0,0024555243158295376;21;0,025783005316210143;6;0,007366572947488613;3;0,0036832864737443064;9;0,011049859421232919;4;0,004911048631659075;5;0,0061388107895738436
8;earth;9;0,011049859421232919;8;0,00982209726331815;5;0,0061388107895738436;3;0,0036832864737443064;5;0,0061388107895738436;3;0,0036832864737443064;3;0,0036832864737443064;1;0,0012277621579147688;4;0,004911048631659075;6;0,007366572947488613;3;0,0036832864737443064;21;0,025783005316210143;7;0,00859433510540338;11;0,013505383737062455;3;0,0036832864737443064;17;0,02087195668455107;10;0,012277621579147687;12;0,014733145894977226;5;0,0061388107895738436;4;0,004911048631659075;24;0,02946629178995445;4;0,004911048631659075;4;0,004911048631659075;2;0,0024555243158295376;4;0,004911048631659075;9;0,011049859421232919
9;green;5;0,0061388107895738436;10;0,012277621579147687;6;0,007366572947488613;0;0,0;7;0,00859433510540338;8;0,00982209726331815;13;0,015960908052891996;3;0,0036832864737443064;3;0,0036832864737443064;4;0,004911048631659075;8;0,00982209726331815;4;0,004911048631659075;3;0,0036832864737443064;4;0,004911048631659075;10;0,012277621579147687;3;0,0036832864737443064;10;0,012277621579147687;4;0,004911048631659075;4;0,004911048631659075;7;0,00859433510540338;21;0,025783005316210143;6;0,007366572947488613;10;0,012277621579147687;5;0,0061388107895738436;7;0,00859433510540338;6;0,007366572947488613
