;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;climate;212.0;0.13899087380677647;545.0;0.09395272023293379
1;greennewdeal;146.0;0.09572013007447813;254.0;0.043787139337917766
2;green_new;140.0;0.09178642609881464;483.0;0.08326452086698535
3;climate_change;128.0;0.08391901814748767;215.0;0.037063917156111494
4;fossil_fuel;113.0;0.07408475820832897;262.0;0.04516626183674982
5;energy;106.0;0.06949543690338823;350.0;0.06033660932390243
6;climate_crisis;58.0;0.03802580509808035;165.0;0.028444401538411147
7;green;51.0;0.03343648379313962;124.0;0.02137639873189686
8;planet;46.0;0.030158397146753384;192.0;0.03309893997196933
9;ecosocialist;44.0;0.028847162488198887;103.0;0.017756202172462716
10;environmental;40.0;0.026224693171089896;99.0;0.01706664092304669
11;earth;37.0;0.024257841183258157;158.0;0.0272376693519331
12;ecosocialism;32.0;0.020979754536871918;65.0;0.011205370303010451
13;carbon;30.0;0.019668519878317425;55.0;0.009481467179470383
14;save_planet;29.0;0.019012902549040176;21.0;0.0036201965594341457
15;climatestrike;27.0;0.017701667890485683;4.0;0.0006895612494160279
16;emission;23.0;0.015079198573376692;40.0;0.006895612494160278
17;environmental_justice;18.0;0.011801111926990454;40.0;0.006895612494160278
18;climateemergency;12.0;0.007867407951326968;5.0;0.0008619515617700348
19;sustainable;10.0;0.006556173292772474;42.0;0.007240393118868291
20;fossil;10.0;0.006556173292772474;33.0;0.00568888030768223
21;greennew;8.0;0.0052449386342179796;6.0;0.0010343418741240416
22;natural_gas;7.0;0.004589321304940732;21.0;0.0036201965594341457
23;renewable_energy;6.0;0.003933703975663484;22.0;0.003792586871788153
24;decarbonise;6.0;0.003933703975663484;1.0;0.00017239031235400697
25;decarbonize;6.0;0.003933703975663484;11.0;0.0018962934358940765
26;ecology;6.0;0.003933703975663484;8.0;0.0013791224988320557
27;climatebanner;6.0;0.003933703975663484;0.0;0.0
28;ecological;4.0;0.0026224693171089898;19.0;0.0032754159347261323
29;fracke_gas;4.0;0.0026224693171089898;31.0;0.005344099682974215
30;energydemocracy;4.0;0.0026224693171089898;5.0;0.0008619515617700348
31;sustainability;4.0;0.0026224693171089898;9.0;0.0015515128111860624
32;climatejustice;4.0;0.0026224693171089898;3.0;0.0005171709370620208
