;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;climate;51.0;0.2463173146582951;30.0;0.1372495196266813;26.0;0.1212686567164179;18.0;0.15977276761938575;17.0;0.07625028033191299;38.0;0.14749262536873156;32.0;0.1095890410958904;15.0;0.06248177614862332;24.0;0.11370096645821488;32.0;0.0927267458707621;22.0;0.0823199251637044;62.0;0.18675823844809927;26.0;0.0725365472603504;88.0;0.2247305786812401;53.0;0.12283873360218792;26.0;0.05427861631281184;10.0;0.025516713447307986;9.0;0.030481609428977846;31.0;0.10524886263325864;6.0;0.02437934257039535;56.0;0.2289264982421715;27.0;0.09110848658680615;20.0;0.10370754472387865;19.0;0.09139888397152203;8.0;0.04558664311356773;11.0;0.027512380571257065
1;fossil_fuel;28.0;0.1352330354986718;14.0;0.06404977582578461;7.0;0.03264925373134329;12.0;0.10651517841292384;11.0;0.04933841668535546;11.0;0.04269523365936966;30.0;0.10273972602739725;12.0;0.049985420918898654;12.0;0.05685048322910744;5.0;0.014488554042306579;10.0;0.037418147801683815;29.0;0.08735465991927224;20.0;0.05579734404642339;32.0;0.08172021042954186;17.0;0.039401103230890466;10.0;0.020876390889543017;9.0;0.022965042102577188;4.0;0.0135473819684346;8.0;0.027160996808582874;6.0;0.02437934257039535;45.0;0.18395879323031641;12.0;0.04049266070524717;6.0;0.0311122634171636;10.0;0.04810467577448528;6.0;0.03418998233517579;9.0;0.022510129558301235
2;climatestrike;21.0;0.10142477662400387;1.0;0.004574983987556043;0.0;0.0;1.0;0.008876264867743653;0.0;0.0;2.0;0.00776276975624903;2.0;0.00684931506849315;2.0;0.008330903486483108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.00817594636579184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;greennewdeal;20.0;0.09659502535619416;13.0;0.05947479183822857;13.0;0.06063432835820895;48.0;0.42606071365169534;7.0;0.03139717425431711;23.0;0.08927185219686384;22.0;0.07534246575342465;2.0;0.008330903486483108;10.0;0.04737540269092287;9.0;0.02607939727615184;17.0;0.06361085126286249;52.0;0.1566359419242123;17.0;0.04742774243945988;17.0;0.04341386179069411;13.0;0.030130255411857414;13.0;0.02713930815640592;3.0;0.007655014034192396;1.0;0.00338684549210865;10.0;0.03395124601072859;10.0;0.04063223761732559;26.0;0.10628730275529392;3.0;0.010123165176311793;28.0;0.1451905626134301;9.0;0.04329420819703675;3.0;0.017094991167587895;11.0;0.027512380571257065
4;green_new;19.0;0.09176527408838445;11.0;0.050324823863116486;18.0;0.08395522388059701;19.0;0.1686490324871294;24.0;0.1076474545862301;17.0;0.06598354292811674;32.0;0.1095890410958904;27.0;0.11246719706752198;20.0;0.09475080538184574;29.0;0.08403361344537816;41.0;0.15341440598690365;61.0;0.18374600879571057;37.0;0.10322508648588327;55.0;0.14045661167577508;22.0;0.05098966300468178;23.0;0.048015699045948934;6.0;0.015310028068384792;8.0;0.0270947639368692;28.0;0.09506348883004005;12.0;0.0487586851407907;19.0;0.07767149047502248;25.0;0.08435970980259828;14.0;0.07259528130671505;25.0;0.1202616894362132;12.0;0.06837996467035158;19.0;0.047521384623080386
5;climate_change;17.0;0.08210577155276504;7.0;0.032024887912892305;26.0;0.1212686567164179;17.0;0.15089650275164213;15.0;0.06727965911639382;12.0;0.04657661853749418;34.0;0.11643835616438356;3.0;0.012496355229724664;19.0;0.09001326511275345;14.0;0.04056795131845842;7.0;0.02619270346117867;24.0;0.07229351165732875;27.0;0.07532641446267158;15.0;0.03830634863884774;20.0;0.04635423909516525;22.0;0.04592805995699463;7.0;0.017861699413115592;2.0;0.0067736909842173;7.0;0.023765872207510013;10.0;0.04063223761732559;13.0;0.05314365137764696;3.0;0.010123165176311793;5.0;0.025926886180969663;6.0;0.02886280546469117;6.0;0.03418998233517579;5.0;0.012505627532389575
6;planet;13.0;0.0627867664815262;7.0;0.032024887912892305;2.0;0.009328358208955225;4.0;0.03550505947097461;7.0;0.03139717425431711;3.0;0.011644154634373545;10.0;0.03424657534246575;8.0;0.03332361394593243;8.0;0.037900322152738294;13.0;0.0376702405099971;3.0;0.011225444340505144;16.0;0.04819567443821917;5.0;0.013949336011605848;16.0;0.04086010521477093;13.0;0.030130255411857414;11.0;0.022964029978497315;3.0;0.007655014034192396;10.0;0.0338684549210865;14.0;0.047531744415020026;15.0;0.06094835642598838;20.0;0.0817594636579184;17.0;0.05736460266576683;4.0;0.020741508944775732;3.0;0.014431402732345585;4.0;0.022793321556783864;9.0;0.022510129558301235
7;ecosocialist;12.0;0.05795701521371649;8.0;0.03659987190044835;3.0;0.013992537313432836;2.0;0.017752529735487306;5.0;0.02242655303879794;11.0;0.04269523365936966;3.0;0.010273972602739727;2.0;0.008330903486483108;3.0;0.01421262080727686;6.0;0.017386264850767892;18.0;0.06735266604303086;11.0;0.03313452617627568;6.0;0.01673920321392702;13.0;0.03319883548700138;7.0;0.016223983683307838;2.0;0.004175278177908603;2.0;0.0051033426894615975;1.0;0.00338684549210865;4.0;0.013580498404291437;4.0;0.016252895046930237;6.0;0.02452783909737552;2.0;0.006748776784207863;3.0;0.0155561317085818;8.0;0.03848374061958822;2.0;0.011396660778391932;3.0;0.007503376519433746
8;climate_crisis;12.0;0.05795701521371649;4.0;0.018299935950224173;10.0;0.046641791044776115;4.0;0.03550505947097461;9.0;0.040367795469836286;6.0;0.02328830926874709;13.0;0.04452054794520548;2.0;0.008330903486483108;7.0;0.033162781883646006;11.0;0.031874818893074475;3.0;0.011225444340505144;27.0;0.08133020061449485;4.0;0.011159468809284678;17.0;0.04341386179069411;21.0;0.048671951049923515;12.0;0.025051669067451616;3.0;0.007655014034192396;4.0;0.0135473819684346;4.0;0.013580498404291437;2.0;0.008126447523465119;21.0;0.08584743684081432;6.0;0.020246330352623586;3.0;0.0155561317085818;9.0;0.04329420819703675;4.0;0.022793321556783864;5.0;0.012505627532389575
9;earth;10.0;0.04829751267809708;8.0;0.03659987190044835;5.0;0.023320895522388058;3.0;0.02662879460323096;5.0;0.02242655303879794;3.0;0.011644154634373545;3.0;0.010273972602739727;1.0;0.004165451743241554;4.0;0.018950161076369147;6.0;0.017386264850767892;3.0;0.011225444340505144;21.0;0.06325682270016265;7.0;0.019529070416248184;11.0;0.028091322335155013;3.0;0.006953135864274787;17.0;0.03548986451222313;10.0;0.025516713447307986;12.0;0.0406421459053038;5.0;0.016975623005364295;4.0;0.016252895046930237;31.0;0.12672716866977352;4.0;0.013497553568415727;4.0;0.020741508944775732;2.0;0.009620935154897056;4.0;0.022793321556783864;9.0;0.022510129558301235
10;environmental_justice;7.0;0.03380825887466795;1.0;0.004574983987556043;0.0;0.0;1.0;0.008876264867743653;1.0;0.004485310607759587;2.0;0.00776276975624903;6.0;0.020547945205479454;1.0;0.004165451743241554;1.0;0.004737540269092287;1.0;0.0028977108084613156;5.0;0.018709073900841908;2.0;0.006024459304777396;0.0;0.0;2.0;0.005107513151846366;2.0;0.004635423909516525;1.0;0.0020876390889543015;3.0;0.007655014034192396;3.0;0.01016053647632595;3.0;0.010185373803218578;1.0;0.004063223761732559;3.0;0.01226391954868776;3.0;0.010123165176311793;3.0;0.0155561317085818;1.0;0.004810467577448528;4.0;0.022793321556783864;1.0;0.002501125506477915
11;environmental;7.0;0.03380825887466795;8.0;0.03659987190044835;4.0;0.01865671641791045;1.0;0.008876264867743653;6.0;0.026911863646557524;8.0;0.03105107902499612;6.0;0.020547945205479454;5.0;0.020827258716207775;9.0;0.04263786242183058;4.0;0.011590843233845263;3.0;0.011225444340505144;8.0;0.024097837219109585;5.0;0.013949336011605848;8.0;0.020430052607385465;4.0;0.00927084781903305;2.0;0.004175278177908603;11.0;0.028068384792038787;5.0;0.01693422746054325;4.0;0.013580498404291437;8.0;0.032505790093860475;9.0;0.03679175864606328;2.0;0.006748776784207863;0.0;0.0;3.0;0.014431402732345585;6.0;0.03418998233517579;3.0;0.007503376519433746
12;green;6.0;0.028978507606858245;11.0;0.050324823863116486;6.0;0.027985074626865673;0.0;0.0;7.0;0.03139717425431711;8.0;0.03105107902499612;13.0;0.04452054794520548;3.0;0.012496355229724664;3.0;0.01421262080727686;4.0;0.011590843233845263;8.0;0.029934518241347054;4.0;0.012048918609554793;3.0;0.00836960160696351;4.0;0.010215026303692733;10.0;0.023177119547582625;3.0;0.006262917266862904;12.0;0.030620056136769585;4.0;0.0135473819684346;4.0;0.013580498404291437;7.0;0.028442566332127907;21.0;0.08584743684081432;6.0;0.020246330352623586;10.0;0.051853772361939325;5.0;0.02405233788724264;7.0;0.03988831272437176;6.0;0.015006753038867492
13;energy;5.0;0.02414875633904854;21.0;0.09607466373867692;13.0;0.06063432835820895;8.0;0.07101011894194922;10.0;0.04485310607759588;23.0;0.08927185219686384;26.0;0.08904109589041095;7.0;0.029158162202690883;9.0;0.04263786242183058;20.0;0.057954216169226316;25.0;0.09354536950420954;29.0;0.08735465991927224;16.0;0.04463787523713871;53.0;0.1353490985239287;31.0;0.07184907059750614;9.0;0.018788751800588716;20.0;0.05103342689461597;2.0;0.0067736909842173;28.0;0.09506348883004005;10.0;0.04063223761732559;25.0;0.10219932957239801;16.0;0.053990214273662906;14.0;0.07259528130671505;11.0;0.05291514335193381;10.0;0.05698330389195966;15.0;0.037516882597168726
14;ecosocialism;5.0;0.02414875633904854;6.0;0.02744990392533626;1.0;0.004664179104477612;1.0;0.008876264867743653;4.0;0.017941242431038347;13.0;0.050458003415618694;2.0;0.00684931506849315;9.0;0.03748906568917399;6.0;0.02842524161455372;3.0;0.008693132425383946;3.0;0.011225444340505144;7.0;0.021085607566720888;9.0;0.025108804820890524;2.0;0.005107513151846366;0.0;0.0;2.0;0.004175278177908603;1.0;0.0025516713447307987;0.0;0.0;2.0;0.0067902492021457185;4.0;0.016252895046930237;0.0;0.0;1.0;0.0033743883921039317;0.0;0.0;10.0;0.04810467577448528;1.0;0.005698330389195966;5.0;0.012505627532389575
15;carbon;4.0;0.01931900507123883;3.0;0.01372495196266813;3.0;0.013992537313432836;3.0;0.02662879460323096;7.0;0.03139717425431711;6.0;0.02328830926874709;4.0;0.0136986301369863;8.0;0.03332361394593243;6.0;0.02842524161455372;2.0;0.005795421616922631;4.0;0.014967259120673527;10.0;0.030122296523886982;1.0;0.0027898672023211695;3.0;0.0076612697277695496;5.0;0.011588559773791312;2.0;0.004175278177908603;2.0;0.0051033426894615975;0.0;0.0;1.0;0.0033951246010728593;4.0;0.016252895046930237;0.0;0.0;3.0;0.010123165176311793;3.0;0.0155561317085818;1.0;0.004810467577448528;0.0;0.0;0.0;0.0
16;energydemocracy;2.0;0.009659502535619416;0.0;0.0;1.0;0.004664179104477612;1.0;0.008876264867743653;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0027898672023211695;1.0;0.002553756575923183;1.0;0.0023177119547582625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.00408797318289592;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.002501125506477915
