;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;covid;0;0.0;2377;2.9183906493634053
1;crisis;90;0.11049859421232919;1221;1.4990975948139327
2;pandemic;0;0.0;1108;1.3603604709695638
3;coronavirus;0;0.0;951;1.167601812176945
4;sick;43;0.05279377279033506;263;0.3229014475315842
5;nurse;19;0.023327481000380606;276;0.33886235558447614
6;covid_crisis;0;0.0;281;0.34500116637405004
7;ppe;0;0.0;223;0.2737909612149934
8;virus;1;0.0012277621579147688;219;0.2688799125833344
9;stay_home;4;0.004911048631659075;204;0.2504634802146128
10;social_distancing;0;0.0;179;0.2197694262667436
11;response_covid;0;0.0;162;0.19889746958219254
12;essential_worker;0;0.0;138;0.16943117779223807
13;reopen;1;0.0012277621579147688;128;0.1571535562130904
14;testing;11;0.013505383737062455;115;0.1411926481601984
15;righttorecovery;0;0.0;118;0.14487593463394272
16;frontline;5;0.0061388107895738436;109;0.1338260752127098
17;global_pandemic;0;0.0;111;0.13628159952853933
18;coronavirus_pandemic;0;0.0;107;0.13137055089688024
19;stay_safe;18;0.022099718842465838;77;0.0945376861594372
20;outbreak;0;0.0;93;0.11418188068607349
21;save_life;1;0.0012277621579147688;90;0.11049859421232919
22;healthyla;0;0.0;88;0.10804306989649964
23;frontline_worker;0;0.0;80;0.0982209726331815
24;corona;5;0.0061388107895738436;70;0.08594335105403382
25;test_positive;0;0.0;74;0.09085439968569288
26;covid_bulletin;0;0.0;74;0.09085439968569288
27;symptom;5;0.0061388107895738436;60;0.07366572947488612
28;middle_pandemic;0;0.0;66;0.08103230242237475
29;covid_outbreak;0;0.0;57;0.06998244300114183
30;transit_worker;9;0.011049859421232919;47;0.05770482142199413
31;hand_sanitizer;0;0.0;54;0.06629915652739751
32;wear_mask;0;0.0;54;0.06629915652739751
33;risk_life;6;0.007366572947488613;46;0.056477059264079366
34;emergency_guarantee;0;0.0;48;0.0589325835799089
35;endcovidsanction;0;0.0;47;0.05770482142199413
36;vaccine;1;0.0012277621579147688;45;0.055249297106164594
37;lockdown;0;0.0;44;0.05402153494824982
38;epidemic;5;0.0061388107895738436;35;0.04297167552701691
39;protective_equipment;0;0.0;39;0.04788272415867598
