;word;df_week_1;pecent_rdf_week_1;df_week_2;pecent_rdf_week_2;df_week_3;pecent_rdf_week_3;df_week_4;pecent_rdf_week_4;df_week_5;pecent_rdf_week_5;df_week_6;pecent_rdf_week_6;df_week_7;pecent_rdf_week_7;df_week_8;pecent_rdf_week_8;df_week_9;pecent_rdf_week_9;df_week_10;pecent_rdf_week_10;df_week_11;pecent_rdf_week_11;df_week_12;pecent_rdf_week_12;df_week_13;pecent_rdf_week_13;df_week_14;pecent_rdf_week_14;df_week_15;pecent_rdf_week_15;df_week_16;pecent_rdf_week_16;df_week_17;pecent_rdf_week_17;df_week_18;pecent_rdf_week_18;df_week_19;pecent_rdf_week_19;df_week_20;pecent_rdf_week_20;df_week_21;pecent_rdf_week_21;df_week_22;pecent_rdf_week_22;df_week_23;pecent_rdf_week_23;df_week_24;pecent_rdf_week_24;df_week_25;pecent_rdf_week_25;df_week_26;pecent_rdf_week_26
0;covid;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;7;0,00859433510540338;231;0,2836130584783116;495;0,6077422681678105;373;0,45795528490220877;242;0,29711844221537403;172;0,21117509116134023;162;0,19889746958219254;142;0,17434222642389716;184;0,22590823705631746;111;0,13628159952853933;94;0,11540964284398826;81;0,09944873479109627;81;0,09944873479109627
1;crisis;10;0,012277621579147687;8;0,00982209726331815;4;0,004911048631659075;29;0,03560510257952829;9;0,011049859421232919;15;0,01841643236872153;15;0,01841643236872153;12;0,014733145894977226;16;0,0196441945266363;10;0,012277621579147687;6;0,007366572947488613;14;0,01718867021080676;20;0,024555243158295374;19;0,023327481000380606;133;0,16329236700266422;222;0,27256319905707865;190;0,23327481000380607;133;0,16329236700266422;83;0,10190425910692581;53;0,06507139436948274;59;0,07243796731697136;79;0,09699321047526674;54;0,06629915652739751;58;0,07121020515905659;36;0,044199437684931675;24;0,02946629178995445
2;pandemic;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;9;0,011049859421232919;8;0,00982209726331815;95;0,11663740500190303;194;0,23818585863546513;145;0,17802551289764149;104;0,12768726442313597;84;0,10313202126484057;80;0,0982209726331815;64;0,0785767781065452;74;0,09085439968569288;52;0,06384363221156798;62;0,07612125379071566;62;0,07612125379071566;75;0,09208216184360767
3;coronavirus;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0;2;0,0024555243158295376;16;0,0196441945266363;35;0,04297167552701691;195;0,23941362079337988;235;0,2885241071099707;183;0,2246804748984027;87;0,10681530773858489;49;0,06016034573782367;47;0,05770482142199413;24;0,02946629178995445;22;0,02701076747412491;17;0,02087195668455107;15;0,01841643236872153;9;0,011049859421232919;11;0,013505383737062455
4;sick;8;0,00982209726331815;1;0,0012277621579147688;20;0,024555243158295374;2;0,0024555243158295376;5;0,0061388107895738436;1;0,0012277621579147688;6;0,007366572947488613;6;0,007366572947488613;3;0,0036832864737443064;9;0,011049859421232919;5;0,0061388107895738436;7;0,00859433510540338;11;0,013505383737062455;12;0,014733145894977226;40;0,04911048631659075;36;0,044199437684931675;21;0,025783005316210143;35;0,04297167552701691;13;0,015960908052891996;14;0,01718867021080676;7;0,00859433510540338;9;0,011049859421232919;7;0,00859433510540338;13;0,015960908052891996;11;0,013505383737062455;4;0,004911048631659075
5;nurse;3;0,0036832864737443064;3;0,0036832864737443064;3;0,0036832864737443064;2;0,0024555243158295376;4;0,004911048631659075;1;0,0012277621579147688;3;0,0036832864737443064;7;0,00859433510540338;22;0,02701076747412491;6;0,007366572947488613;3;0,0036832864737443064;6;0,007366572947488613;8;0,00982209726331815;5;0,0061388107895738436;7;0,00859433510540338;16;0,0196441945266363;42;0,051566010632420285;10;0,012277621579147687;10;0,012277621579147687;15;0,01841643236872153;19;0,023327481000380606;44;0,05402153494824982;29;0,03560510257952829;7;0,00859433510540338;13;0,015960908052891996;7;0,00859433510540338
6;covid_crisis;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;26;0,03192181610578399;65;0,07980454026445996;38;0,04665496200076121;18;0,022099718842465838;39;0,04788272415867598;13;0,015960908052891996;28;0,03437734042161352;18;0,022099718842465838;13;0,015960908052891996;9;0,011049859421232919;8;0,00982209726331815;6;0,007366572947488613
7;ppe;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10;0,012277621579147687;26;0,03192181610578399;14;0,01718867021080676;24;0,02946629178995445;21;0,025783005316210143;18;0,022099718842465838;43;0,05279377279033506;12;0,014733145894977226;23;0,028238529632039683;13;0,015960908052891996;18;0,022099718842465838
8;virus;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;38;0,04665496200076121;49;0,06016034573782367;33;0,04051615121118737;19;0,023327481000380606;20;0,024555243158295374;5;0,0061388107895738436;19;0,023327481000380606;10;0,012277621579147687;10;0,012277621579147687;3;0,0036832864737443064;1;0,0012277621579147688;6;0,007366572947488613
9;stay_home;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;2;0,0024555243158295376;0;0,0;0;0,0;3;0,0036832864737443064;3;0,0036832864737443064;27;0,033149578263698756;37;0,04542719984284644;48;0,0589325835799089;21;0,025783005316210143;15;0,01841643236872153;8;0,00982209726331815;5;0,0061388107895738436;10;0,012277621579147687;9;0,011049859421232919;4;0,004911048631659075;5;0,0061388107895738436;5;0,0061388107895738436
10;social_distancing;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;18;0,022099718842465838;41;0,05033824847450552;31;0,03806062689535783;20;0,024555243158295374;12;0,014733145894977226;6;0,007366572947488613;13;0,015960908052891996;9;0,011049859421232919;8;0,00982209726331815;4;0,004911048631659075;4;0,004911048631659075;13;0,015960908052891996
11;response_covid;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;7;0,00859433510540338;30;0,03683286473744306;27;0,033149578263698756;8;0,00982209726331815;27;0,033149578263698756;15;0,01841643236872153;11;0,013505383737062455;11;0,013505383737062455;9;0,011049859421232919;11;0,013505383737062455;3;0,0036832864737443064;3;0,0036832864737443064
12;essential_worker;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;14;0,01718867021080676;14;0,01718867021080676;10;0,012277621579147687;7;0,00859433510540338;19;0,023327481000380606;25;0,03069405394786922;12;0,014733145894977226;10;0,012277621579147687;12;0,014733145894977226;14;0,01718867021080676
13;reopen;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;4;0,004911048631659075;4;0,004911048631659075;2;0,0024555243158295376;1;0,0012277621579147688;8;0,00982209726331815;21;0,025783005316210143;20;0,024555243158295374;21;0,025783005316210143;16;0,0196441945266363;11;0,013505383737062455;18;0,022099718842465838
14;testing;3;0,0036832864737443064;0;0,0;5;0,0061388107895738436;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;18;0,022099718842465838;29;0,03560510257952829;18;0,022099718842465838;10;0,012277621579147687;5;0,0061388107895738436;4;0,004911048631659075;4;0,004911048631659075;8;0,00982209726331815;3;0,0036832864737443064;4;0,004911048631659075;1;0,0012277621579147688;6;0,007366572947488613
15;righttorecovery;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;17;0,02087195668455107;0;0,0;8;0,00982209726331815;10;0,012277621579147687;24;0,02946629178995445;12;0,014733145894977226;20;0,024555243158295374;7;0,00859433510540338;12;0,014733145894977226;8;0,00982209726331815
16;frontline;0;0,0;0;0,0;3;0,0036832864737443064;0;0,0;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;1;0,0012277621579147688;0;0,0;3;0,0036832864737443064;2;0,0024555243158295376;2;0,0024555243158295376;3;0,0036832864737443064;8;0,00982209726331815;10;0,012277621579147687;10;0,012277621579147687;7;0,00859433510540338;4;0,004911048631659075;5;0,0061388107895738436;14;0,01718867021080676;5;0,0061388107895738436;4;0,004911048631659075;7;0,00859433510540338;21;0,025783005316210143
17;global_pandemic;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;2;0,0024555243158295376;1;0,0012277621579147688;25;0,03069405394786922;25;0,03069405394786922;19;0,023327481000380606;13;0,015960908052891996;8;0,00982209726331815;3;0,0036832864737443064;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0;0;0,0;3;0,0036832864737443064;7;0,00859433510540338
18;coronavirus_pandemic;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10;0,012277621579147687;23;0,028238529632039683;27;0,033149578263698756;13;0,015960908052891996;7;0,00859433510540338;1;0,0012277621579147688;5;0,0061388107895738436;4;0,004911048631659075;5;0,0061388107895738436;2;0,0024555243158295376;5;0,0061388107895738436;5;0,0061388107895738436
19;stay_safe;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0;6;0,007366572947488613;2;0,0024555243158295376;6;0,007366572947488613;6;0,007366572947488613;2;0,0024555243158295376;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;8;0,00982209726331815;7;0,00859433510540338;6;0,007366572947488613;4;0,004911048631659075;1;0,0012277621579147688;7;0,00859433510540338;2;0,0024555243158295376;9;0,011049859421232919;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;21;0,025783005316210143
20;outbreak;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;37;0,04542719984284644;26;0,03192181610578399;12;0,014733145894977226;3;0,0036832864737443064;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;0;0,0
21;save_life;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;8;0,00982209726331815;3;0,0036832864737443064;0;0,0;0;0,0;13;0,015960908052891996;16;0,0196441945266363;11;0,013505383737062455;12;0,014733145894977226;6;0,007366572947488613;2;0,0024555243158295376;7;0,00859433510540338;3;0,0036832864737443064;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688
22;healthyla;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;22;0,02701076747412491;37;0,04542719984284644;11;0,013505383737062455;1;0,0012277621579147688;5;0,0061388107895738436;5;0,0061388107895738436;3;0,0036832864737443064;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0
23;frontline_worker;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0036832864737443064;15;0,01841643236872153;8;0,00982209726331815;2;0,0024555243158295376;1;0,0012277621579147688;6;0,007366572947488613;20;0,024555243158295374;6;0,007366572947488613;11;0,013505383737062455;6;0,007366572947488613;2;0,0024555243158295376
24;corona;0;0,0;3;0,0036832864737443064;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;18;0,022099718842465838;18;0,022099718842465838;5;0,0061388107895738436;6;0,007366572947488613;2;0,0024555243158295376;1;0,0012277621579147688;3;0,0036832864737443064;3;0,0036832864737443064;4;0,004911048631659075;0;0,0;4;0,004911048631659075;2;0,0024555243158295376
25;test_positive;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;5;0,0061388107895738436;15;0,01841643236872153;9;0,011049859421232919;4;0,004911048631659075;17;0,02087195668455107;5;0,0061388107895738436;8;0,00982209726331815;2;0,0024555243158295376;6;0,007366572947488613;1;0,0012277621579147688;1;0,0012277621579147688
26;covid_bulletin;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;29;0,03560510257952829;18;0,022099718842465838;12;0,014733145894977226;7;0,00859433510540338;0;0,0;8;0,00982209726331815;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
27;symptom;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;3;0,0036832864737443064;15;0,01841643236872153;20;0,024555243158295374;11;0,013505383737062455;4;0,004911048631659075;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688
28;middle_pandemic;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;19;0,023327481000380606;13;0,015960908052891996;6;0,007366572947488613;4;0,004911048631659075;4;0,004911048631659075;7;0,00859433510540338;2;0,0024555243158295376;0;0,0;4;0,004911048631659075;2;0,0024555243158295376;5;0,0061388107895738436
29;covid_outbreak;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;14;0,01718867021080676;14;0,01718867021080676;5;0,0061388107895738436;3;0,0036832864737443064;5;0,0061388107895738436;6;0,007366572947488613;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0
