;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;crisis;92.0;0.06031679429350677;1299.0;0.22393501574785504
1;sick;44.0;0.028847162488198887;272.0;0.04689016496028989
2;dontbargainwithourlive;32.0;0.020979754536871918;0.0;0.0
3;nurse;22.0;0.014423581244099443;290.0;0.04999319058266202
4;stay_safe;18.0;0.011801111926990454;77.0;0.013274054051258536
5;testing;11.0;0.007211790622049722;119.0;0.020514447170126827
6;transit_worker;9.0;0.005900555963495227;47.0;0.008102344680638328
7;risk_life;6.0;0.003933703975663484;46.0;0.00792995436828432
8;corona;5.0;0.003278086646386237;73.0;0.012584492801842508
9;symptom;5.0;0.003278086646386237;65.0;0.011205370303010451
10;frontline;5.0;0.003278086646386237;112.0;0.019307714983648777
11;epidemic;5.0;0.003278086646386237;35.0;0.006033660932390244
12;stay_home;4.0;0.0026224693171089898;205.0;0.03534001403257142
13;save_life;1.0;0.0006556173292772474;90.0;0.015515128111860624
14;antidote;1.0;0.0006556173292772474;3.0;0.0005171709370620208
15;vaccine;1.0;0.0006556173292772474;46.0;0.00792995436828432
16;virus;1.0;0.0006556173292772474;222.0;0.038270649342589544
17;reopen;1.0;0.0006556173292772474;138.0;0.02378986310485296
18;covid;0.0;0.0;2452.0;0.42270104589202506
19;pandemic;0.0;0.0;1123.0;0.19359432077354982
20;coronavirus;0.0;0.0;957.0;0.16497752892278467
21;covid_crisis;0.0;0.0;281.0;0.048441677771475955
22;ppe;0.0;0.0;228.0;0.03930499121671358
23;social_distancing;0.0;0.0;182.0;0.031375036848429266
24;response_covid;0.0;0.0;163.0;0.028099620913703136
25;essential_worker;0.0;0.0;142.0;0.024479424354268985
26;righttorecovery;0.0;0.0;123.0;0.021204008419542855
27;global_pandemic;0.0;0.0;111.0;0.019135324671294772
28;coronavirus_pandemic;0.0;0.0;107.0;0.018445763421878744
29;outbreak;0.0;0.0;93.0;0.016032299048922647
30;healthyla;0.0;0.0;89.0;0.01534273779950662
31;frontline_worker;0.0;0.0;82.0;0.01413600561302857
32;test_positive;0.0;0.0;76.0;0.013101663738904529
33;covid_bulletin;0.0;0.0;74.0;0.012756883114196513
34;middle_pandemic;0.0;0.0;66.0;0.01137776061536446
35;covid_outbreak;0.0;0.0;57.0;0.009826247804178396
36;wear_mask;0.0;0.0;54.0;0.009309076867116375
37;hand_sanitizer;0.0;0.0;54.0;0.009309076867116375
38;emergency_guarantee;0.0;0.0;48.0;0.008274734992992333
39;endcovidsanction;0.0;0.0;47.0;0.008102344680638328
40;lockdown;0.0;0.0;44.0;0.007585173743576306
41;protective_equipment;0.0;0.0;39.0;0.006723222181806271
42;non_essential;0.0;0.0;33.0;0.00568888030768223
43;socially_distance;0.0;0.0;27.0;0.004654538433558187
44;coronaviruspandemic;0.0;0.0;26.0;0.004482148121204181
45;essentialwork;0.0;0.0;24.0;0.0041373674964961665
46;essentialworker;0.0;0.0;23.0;0.00396497718414216
47;immunocompromise;0.0;0.0;20.0;0.003447806247080139
