;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;healthcare;147;0.180481037213471;906;1.1123525150707805
1;medicare_all;287;0.35236773932153864;775;0.9515156723839457
2;health;63;0.07734901594863043;589;0.7231519110117988
3;health_care;75;0.09208216184360767;505;0.6200198897469582
4;medical;27;0.033149578263698756;254;0.3118515881103513
5;health_insurance;64;0.0785767781065452;209;0.2566022910041867
6;universal;44;0.05402153494824982;227;0.2787020098466525
7;public_health;3;0.0036832864737443064;246;0.3020294908470331
8;pay_sick;2;0.0024555243158295376;191;0.23450257216172085
9;doctor;28;0.03437734042161352;159;0.19521418310844824
10;insurance;33;0.04051615121118737;142;0.17434222642389716
11;healthcare_system;31;0.03806062689535783;140;0.17188670210806764
12;patient;18;0.022099718842465838;141;0.1731144642659824
13;medicare;17;0.02087195668455107;130;0.15960908052891992
14;healthy;12;0.014733145894977226;109;0.1338260752127098
15;disability;20;0.024555243158295374;73;0.08962663752777812
16;disease;3;0.0036832864737443064;91;0.11172635637024396
17;medicaid;9;0.011049859421232919;81;0.09944873479109627
18;universal_healthcare;18;0.022099718842465838;64;0.0785767781065452
19;insurance_company;20;0.024555243158295374;61;0.0748934916328009
20;uninsured;2;0.0024555243158295376;73;0.08962663752777812
21;abortion_access;14;0.01718867021080676;54;0.06629915652739751
22;medicine;16;0.0196441945266363;51;0.0626158700536532
23;cut_medicaid;2;0.0024555243158295376;61;0.0748934916328009
24;mental_health;13;0.015960908052891996;42;0.051566010632420285
25;sick_leave;1;0.0012277621579147688;47;0.05770482142199413
26;medical_debt;13;0.015960908052891996;30;0.03683286473744306
27;illness;5;0.0061388107895738436;39;0.04788272415867598
28;pharma;16;0.0196441945266363;27;0.033149578263698756
29;reproductive_right;22;0.02701076747412491;20;0.024555243158295374
30;medication;6;0.007366572947488613;35;0.04297167552701691
31;medic;2;0.0024555243158295376;33;0.04051615121118737
32;passnyhealth;7;0.00859433510540338;27;0.033149578263698756
33;medical_supply;0;0.0;33;0.04051615121118737
34;freethemall_publichealth;0;0.0;30;0.03683286473744306
35;reproductive_freedom;8;0.00982209726331815;22;0.02701076747412491
36;prevention;5;0.0061388107895738436;20;0.024555243158295374
37;givemeppe;0;0.0;19;0.023327481000380606
38;getusppe;0;0.0;17;0.02087195668455107
39;paidsickleave;0;0.0;17;0.02087195668455107
40;medica;3;0.0036832864737443064;13;0.015960908052891996
41;respiratory;0;0.0;13;0.015960908052891996
42;healthca;4;0.004911048631659075;7;0.00859433510540338
43;obamacare;2;0.0024555243158295376;9;0.011049859421232919
44;chronic;1;0.0012277621579147688;9;0.011049859421232919
45;pregnancy;2;0.0024555243158295376;8;0.00982209726331815
46;planned;1;0.0012277621579147688;8;0.00982209726331815
47;healthcareforall;0;0.0;8;0.00982209726331815
48;pharmacy;0;0.0;8;0.00982209726331815
49;sickness;0;0.0;8;0.00982209726331815
50;abortionishealthcare;1;0.0012277621579147688;6;0.007366572947488613
51;diabetic;3;0.0036832864737443064;4;0.004911048631659075
52;hospitalize;1;0.0012277621579147688;6;0.007366572947488613
53;lifesave;2;0.0024555243158295376;5;0.0061388107895738436
54;medicareforallnow;0;0.0;5;0.0061388107895738436
55;abortionisessential;0;0.0;6;0.007366572947488613
56;medicar;3;0.0036832864737443064;3;0.0036832864737443064
57;abortionondemand;5;0.0061388107895738436;0;0.0
58;healthjustice;1;0.0012277621579147688;4;0.004911048631659075
59;medically;1;0.0012277621579147688;4;0.004911048631659075
60;medicaref;1;0.0012277621579147688;4;0.004911048631659075
61;nyhealthact;2;0.0024555243158295376;3;0.0036832864737443064
62;singlepayernow;2;0.0024555243158295376;3;0.0036832864737443064
63;universalhealthcare;0;0.0;5;0.0061388107895738436
64;withoutapology;5;0.0061388107895738436;0;0.0
65;abortionis;4;0.004911048631659075;0;0.0
66;fundabortionbuildpower;0;0.0;4;0.004911048631659075
67;peteshealthtax;0;0.0;4;0.004911048631659075
68;pharmac;0;0.0;4;0.004911048631659075
69;psychiatric;0;0.0;4;0.004911048631659075
