;word;df_week_1;pecent_rdf_week_1;df_week_2;pecent_rdf_week_2;df_week_3;pecent_rdf_week_3;df_week_4;pecent_rdf_week_4;df_week_5;pecent_rdf_week_5;df_week_6;pecent_rdf_week_6;df_week_7;pecent_rdf_week_7;df_week_8;pecent_rdf_week_8;df_week_9;pecent_rdf_week_9;df_week_10;pecent_rdf_week_10;df_week_11;pecent_rdf_week_11;df_week_12;pecent_rdf_week_12;df_week_13;pecent_rdf_week_13;df_week_14;pecent_rdf_week_14;df_week_15;pecent_rdf_week_15;df_week_16;pecent_rdf_week_16;df_week_17;pecent_rdf_week_17;df_week_18;pecent_rdf_week_18;df_week_19;pecent_rdf_week_19;df_week_20;pecent_rdf_week_20;df_week_21;pecent_rdf_week_21;df_week_22;pecent_rdf_week_22;df_week_23;pecent_rdf_week_23;df_week_24;pecent_rdf_week_24;df_week_25;pecent_rdf_week_25;df_week_26;pecent_rdf_week_26
0;healthcare;28;0,03437734042161352;34;0,04174391336910214;17;0,02087195668455107;4;0,004911048631659075;12;0,014733145894977226;15;0,01841643236872153;37;0,04542719984284644;34;0,04174391336910214;26;0,03192181610578399;26;0,03192181610578399;55;0,06752691868531228;47;0,05770482142199413;48;0,0589325835799089;56;0,06875468084322704;66;0,08103230242237475;80;0,0982209726331815;78;0,09576544831735195;86;0,10558754558067011;45;0,055249297106164594;42;0,051566010632420285;15;0,01841643236872153;47;0,05770482142199413;39;0,04788272415867598;57;0,06998244300114183;22;0,02701076747412491;37;0,04542719984284644
1;medicare_all;42;0,051566010632420285;53;0,06507139436948274;46;0,056477059264079366;21;0,025783005316210143;29;0,03560510257952829;26;0,03192181610578399;70;0,08594335105403382;38;0,04665496200076121;37;0,04542719984284644;40;0,04911048631659075;57;0,06998244300114183;79;0,09699321047526674;44;0,05402153494824982;58;0,07121020515905659;107;0,13137055089688024;71;0,08717111321194858;53;0,06507139436948274;39;0,04788272415867598;40;0,04911048631659075;20;0,024555243158295374;10;0,012277621579147687;28;0,03437734042161352;17;0,02087195668455107;16;0,0196441945266363;9;0,011049859421232919;12;0,014733145894977226
2;health;5;0,0061388107895738436;14;0,01718867021080676;2;0,0024555243158295376;3;0,0036832864737443064;15;0,01841643236872153;16;0,0196441945266363;8;0,00982209726331815;18;0,022099718842465838;11;0,013505383737062455;14;0,01718867021080676;1;0,0012277621579147688;12;0,014733145894977226;7;0,00859433510540338;22;0,02701076747412491;70;0,08594335105403382;85;0,10435978342275534;55;0,06752691868531228;78;0,09576544831735195;24;0,02946629178995445;28;0,03437734042161352;22;0,02701076747412491;27;0,033149578263698756;13;0,015960908052891996;46;0,056477059264079366;20;0,024555243158295374;36;0,044199437684931675
3;health_care;14;0,01718867021080676;14;0,01718867021080676;10;0,012277621579147687;3;0,0036832864737443064;4;0,004911048631659075;8;0,00982209726331815;22;0,02701076747412491;25;0,03069405394786922;20;0,024555243158295374;14;0,01718867021080676;24;0,02946629178995445;21;0,025783005316210143;24;0,02946629178995445;31;0,03806062689535783;70;0,08594335105403382;37;0,04542719984284644;37;0,04542719984284644;33;0,04051615121118737;19;0,023327481000380606;15;0,01841643236872153;26;0,03192181610578399;34;0,04174391336910214;17;0,02087195668455107;20;0,024555243158295374;17;0,02087195668455107;21;0,025783005316210143
4;medical;5;0,0061388107895738436;0;0,0;4;0,004911048631659075;6;0,007366572947488613;2;0,0024555243158295376;8;0,00982209726331815;2;0,0024555243158295376;5;0,0061388107895738436;12;0,014733145894977226;13;0,015960908052891996;8;0,00982209726331815;28;0,03437734042161352;6;0,007366572947488613;15;0,01841643236872153;41;0,05033824847450552;28;0,03437734042161352;23;0,028238529632039683;23;0,028238529632039683;9;0,011049859421232919;11;0,013505383737062455;8;0,00982209726331815;3;0,0036832864737443064;6;0,007366572947488613;6;0,007366572947488613;4;0,004911048631659075;5;0,0061388107895738436
5;health_insurance;10;0,012277621579147687;12;0,014733145894977226;16;0,0196441945266363;1;0,0012277621579147688;2;0,0024555243158295376;6;0,007366572947488613;17;0,02087195668455107;2;0,0024555243158295376;5;0,0061388107895738436;4;0,004911048631659075;10;0,012277621579147687;25;0,03069405394786922;21;0,025783005316210143;14;0,01718867021080676;4;0,004911048631659075;13;0,015960908052891996;30;0,03683286473744306;27;0,033149578263698756;7;0,00859433510540338;4;0,004911048631659075;7;0,00859433510540338;13;0,015960908052891996;5;0,0061388107895738436;5;0,0061388107895738436;7;0,00859433510540338;6;0,007366572947488613
6;universal;8;0,00982209726331815;5;0,0061388107895738436;8;0,00982209726331815;1;0,0012277621579147688;5;0,0061388107895738436;3;0,0036832864737443064;14;0,01718867021080676;11;0,013505383737062455;4;0,004911048631659075;6;0,007366572947488613;8;0,00982209726331815;8;0,00982209726331815;21;0,025783005316210143;7;0,00859433510540338;34;0,04174391336910214;31;0,03806062689535783;10;0,012277621579147687;8;0,00982209726331815;10;0,012277621579147687;11;0,013505383737062455;6;0,007366572947488613;18;0,022099718842465838;7;0,00859433510540338;18;0,022099718842465838;5;0,0061388107895738436;4;0,004911048631659075
7;public_health;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;11;0,013505383737062455;4;0,004911048631659075;52;0,06384363221156798;39;0,04788272415867598;34;0,04174391336910214;25;0,03069405394786922;11;0,013505383737062455;9;0,011049859421232919;9;0,011049859421232919;11;0,013505383737062455;9;0,011049859421232919;12;0,014733145894977226;9;0,011049859421232919;7;0,00859433510540338
8;pay_sick;2;0,0024555243158295376;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;5;0,0061388107895738436;73;0,08962663752777812;33;0,04051615121118737;29;0,03560510257952829;13;0,015960908052891996;8;0,00982209726331815;4;0,004911048631659075;3;0,0036832864737443064;4;0,004911048631659075;4;0,004911048631659075;3;0,0036832864737443064;4;0,004911048631659075;4;0,004911048631659075
9;doctor;1;0,0012277621579147688;0;0,0;5;0,0061388107895738436;9;0,011049859421232919;5;0,0061388107895738436;1;0,0012277621579147688;7;0,00859433510540338;6;0,007366572947488613;5;0,0061388107895738436;6;0,007366572947488613;2;0,0024555243158295376;9;0,011049859421232919;12;0,014733145894977226;5;0,0061388107895738436;18;0,022099718842465838;17;0,02087195668455107;21;0,025783005316210143;13;0,015960908052891996;4;0,004911048631659075;11;0,013505383737062455;4;0,004911048631659075;10;0,012277621579147687;3;0,0036832864737443064;8;0,00982209726331815;3;0,0036832864737443064;2;0,0024555243158295376
