;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;medicare_all;304.0;0.19930766810028322;794.0;0.1368779080090815
1;healthcare;156.0;0.1022763033672506;945.0;0.16290884517453655
2;health_care;79.0;0.05179376901290256;525.0;0.09050491398585365
3;health_insurance;71.0;0.04654883037868457;211.0;0.036374355906695466
4;health;64.0;0.041959509073743836;612.0;0.10550287116065225
5;universal;45.0;0.02950277981747614;237.0;0.04085650402789965
6;insurance;33.0;0.021635371866149167;145.0;0.02499659529133101
7;healthcare_system;31.0;0.02032413720759467;140.0;0.024134643729560975
8;doctor;28.0;0.018357285219762928;168.0;0.028961572475473166
9;medical;27.0;0.017701667890485683;261.0;0.044993871524395816
10;reproductive_right;23.0;0.015079198573376692;20.0;0.003447806247080139
11;disability;22.0;0.014423581244099443;87.0;0.014997957174798604
12;insurance_company;20.0;0.013112346585544948;61.0;0.010515809053594425
13;patient;19.0;0.012456729256267701;152.0;0.026203327477809058
14;universal_healthcare;18.0;0.011801111926990454;65.0;0.011205370303010451
15;medicare;17.0;0.011145494597713208;135.0;0.02327269216779094
16;pharma;16.0;0.010489877268435959;27.0;0.004654538433558187
17;medicine;16.0;0.010489877268435959;52.0;0.008964296242408363
18;abortion_access;15.0;0.009834259939158712;59.0;0.01017102842888641
19;medical_debt;14.0;0.009178642609881464;32.0;0.005516489995328223
20;mental_health;14.0;0.009178642609881464;44.0;0.007585173743576306
21;healthy;12.0;0.007867407951326968;110.0;0.018962934358940767
22;medicaid;9.0;0.005900555963495227;82.0;0.01413600561302857
23;reproductive_freedom;8.0;0.0052449386342179796;22.0;0.003792586871788153
24;passnyhealth;7.0;0.004589321304940732;27.0;0.004654538433558187
25;medication;6.0;0.003933703975663484;35.0;0.006033660932390244
26;illness;5.0;0.003278086646386237;39.0;0.006723222181806271
27;prevention;5.0;0.003278086646386237;20.0;0.003447806247080139
28;abortionondemand;5.0;0.003278086646386237;0.0;0.0
29;withoutapology;5.0;0.003278086646386237;0.0;0.0
30;healthca;4.0;0.0026224693171089898;7.0;0.0012067321864780486
31;abortionis;4.0;0.0026224693171089898;0.0;0.0
32;medica;3.0;0.001966851987831742;13.0;0.0022410740606020906
33;medicar;3.0;0.001966851987831742;3.0;0.0005171709370620208
34;public_health;3.0;0.001966851987831742;251.0;0.04326996840085574
35;disease;3.0;0.001966851987831742;95.0;0.01637707967363066
36;diabetic;3.0;0.001966851987831742;4.0;0.0006895612494160279
37;pregnancy;2.0;0.0013112346585544949;8.0;0.0013791224988320557
38;medicarefo;2.0;0.0013112346585544949;0.0;0.0
39;nyhealthact;2.0;0.0013112346585544949;3.0;0.0005171709370620208
40;pay_sick;2.0;0.0013112346585544949;197.0;0.03396089153373937
41;singlepayernow;2.0;0.0013112346585544949;3.0;0.0005171709370620208
42;lifesave;2.0;0.0013112346585544949;5.0;0.0008619515617700348
43;cut_medicaid;2.0;0.0013112346585544949;61.0;0.010515809053594425
44;obamacare;2.0;0.0013112346585544949;9.0;0.0015515128111860624
45;uninsured;2.0;0.0013112346585544949;73.0;0.012584492801842508
46;medic;2.0;0.0013112346585544949;35.0;0.006033660932390244
47;untreated;1.0;0.0006556173292772474;1.0;0.00017239031235400697
48;healthcareworkinggroup;1.0;0.0006556173292772474;0.0;0.0
49;healthjusrice;1.0;0.0006556173292772474;0.0;0.0
50;dehydration;1.0;0.0006556173292772474;0.0;0.0
51;mentalhealthmatter;1.0;0.0006556173292772474;0.0;0.0
52;medicaref;1.0;0.0006556173292772474;4.0;0.0006895612494160279
53;providencepatientsbeforeprofit;1.0;0.0006556173292772474;0.0;0.0
54;abortionishealthcare;1.0;0.0006556173292772474;6.0;0.0010343418741240416
55;hospitalize;1.0;0.0006556173292772474;6.0;0.0010343418741240416
56;medicarefora;1.0;0.0006556173292772474;1.0;0.00017239031235400697
57;chronic;1.0;0.0006556173292772474;9.0;0.0015515128111860624
