;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;medicare_all;43.0;0.20767930451581745;56.0;0.25619910330313844;47.0;0.21921641791044777;22.0;0.1952778270903604;29.0;0.13007400762502802;29.0;0.11256016146561093;78.0;0.2671232876712329;38.0;0.15828716624317907;37.0;0.17528898995641465;42.0;0.12170385395537525;59.0;0.2207670720299345;83.0;0.25001506114826194;46.0;0.1283338913067738;58.0;0.14811788140354462;111.0;0.25726602697816714;74.0;0.1544852925826183;53.0;0.13523858127073232;39.0;0.13208697419223736;40.0;0.13580498404291436;20.0;0.08126447523465118;10.0;0.0408797318289592;28.0;0.09448287497891007;18.0;0.09333679025149079;17.0;0.08177794881662498;9.0;0.05128497350276368;12.0;0.030013506077734984
1;healthcare;31.0;0.14972228930210094;35.0;0.16012443956446154;17.0;0.0792910447761194;4.0;0.03550505947097461;13.0;0.05830903790087463;17.0;0.06598354292811674;39.0;0.13356164383561644;35.0;0.1457908110134544;26.0;0.12317604699639947;28.0;0.08113590263691683;57.0;0.21328344246959777;48.0;0.1445870233146575;51.0;0.14228322731837964;57.0;0.14556412482762143;69.0;0.1599221248783201;83.0;0.17327404438320704;81.0;0.20668537892319466;91.0;0.3082029397818872;47.0;0.1595708562504244;44.0;0.17878184551623258;17.0;0.06949554410923064;49.0;0.16534503121309263;40.0;0.2074150894477573;62.0;0.29824898980180875;22.0;0.12536326856231125;38.0;0.09504276924616077
2;health_care;14.0;0.0676165177493359;14.0;0.06404977582578461;11.0;0.05130597014925373;3.0;0.02662879460323096;4.0;0.017941242431038347;8.0;0.03105107902499612;25.0;0.08561643835616438;28.0;0.11663264881076353;20.0;0.09475080538184574;14.0;0.04056795131845842;26.0;0.09728718428437792;22.0;0.06626905235255136;24.0;0.06695681285570808;32.0;0.08172021042954186;72.0;0.1668752607425949;37.0;0.07724264629130916;38.0;0.09696351109977035;34.0;0.11515274673169411;19.0;0.06450736742038432;16.0;0.06501158018772095;28.0;0.11446324912108576;38.0;0.1282267588999494;17.0;0.08815141301529686;22.0;0.10583028670386763;17.0;0.09687161661633141;21.0;0.05252363563603621
3;healthcare_system;10.0;0.04829751267809708;4.0;0.018299935950224173;7.0;0.03264925373134329;1.0;0.008876264867743653;3.0;0.013455931823278762;4.0;0.01552553951249806;2.0;0.00684931506849315;8.0;0.03332361394593243;4.0;0.018950161076369147;0.0;0.0;5.0;0.018709073900841908;4.0;0.012048918609554793;11.0;0.030688539225532864;6.0;0.015322539455539099;33.0;0.07648449450702267;14.0;0.02922694724536022;12.0;0.030620056136769585;18.0;0.06096321885795569;1.0;0.0033951246010728593;5.0;0.020316118808662794;3.0;0.01226391954868776;3.0;0.010123165176311793;7.0;0.03629764065335753;2.0;0.009620935154897056;3.0;0.017094991167587895;1.0;0.002501125506477915
4;health_insurance;10.0;0.04829751267809708;12.0;0.05489980785067252;19.0;0.08861940298507463;1.0;0.008876264867743653;2.0;0.008970621215519173;6.0;0.02328830926874709;21.0;0.07191780821917808;2.0;0.008330903486483108;5.0;0.023687701345461436;4.0;0.011590843233845263;10.0;0.037418147801683815;25.0;0.07530574130971746;21.0;0.05858721124874455;15.0;0.03830634863884774;4.0;0.00927084781903305;13.0;0.02713930815640592;30.0;0.07655014034192395;27.0;0.09144482828693355;8.0;0.027160996808582874;4.0;0.016252895046930237;7.0;0.02861581228027144;13.0;0.043867049097351105;5.0;0.025926886180969663;5.0;0.02405233788724264;7.0;0.03988831272437176;6.0;0.015006753038867492
5;universal;8.0;0.03863801014247766;5.0;0.02287491993778022;9.0;0.041977611940298504;1.0;0.008876264867743653;5.0;0.02242655303879794;3.0;0.011644154634373545;14.0;0.04794520547945205;12.0;0.049985420918898654;4.0;0.018950161076369147;6.0;0.017386264850767892;8.0;0.029934518241347054;8.0;0.024097837219109585;23.0;0.0641669456533869;7.0;0.01787629603146228;38.0;0.08807305428081398;31.0;0.06471681175758334;10.0;0.025516713447307986;8.0;0.0270947639368692;11.0;0.037346370611801454;11.0;0.044695461379058145;7.0;0.02861581228027144;19.0;0.0641133794499747;7.0;0.03629764065335753;18.0;0.0865884163940735;5.0;0.02849165194597983;4.0;0.01000450202591166
6;pharma;5.0;0.02414875633904854;1.0;0.004574983987556043;1.0;0.004664179104477612;3.0;0.02662879460323096;2.0;0.008970621215519173;0.0;0.0;4.0;0.0136986301369863;1.0;0.004165451743241554;2.0;0.009475080538184574;2.0;0.005795421616922631;0.0;0.0;1.0;0.003012229652388698;3.0;0.00836960160696351;5.0;0.012768782879615914;3.0;0.006953135864274787;3.0;0.006262917266862904;3.0;0.007655014034192396;0.0;0.0;0.0;0.0;1.0;0.004063223761732559;1.0;0.00408797318289592;0.0;0.0;0.0;0.0;1.0;0.004810467577448528;0.0;0.0;1.0;0.002501125506477915
7;medical;5.0;0.02414875633904854;0.0;0.0;4.0;0.01865671641791045;6.0;0.05325758920646192;2.0;0.008970621215519173;8.0;0.03105107902499612;2.0;0.00684931506849315;5.0;0.020827258716207775;13.0;0.06158802349819974;13.0;0.0376702405099971;8.0;0.029934518241347054;29.0;0.08735465991927224;6.0;0.01673920321392702;15.0;0.03830634863884774;43.0;0.0996616140546053;29.0;0.06054153357967475;23.0;0.058688440928808365;24.0;0.0812842918106076;9.0;0.030556121409655735;11.0;0.044695461379058145;8.0;0.03270378546316736;3.0;0.010123165176311793;6.0;0.0311122634171636;6.0;0.02886280546469117;4.0;0.022793321556783864;6.0;0.015006753038867492
8;health;5.0;0.02414875633904854;14.0;0.06404977582578461;2.0;0.009328358208955225;3.0;0.02662879460323096;16.0;0.07176496972415339;16.0;0.06210215804999224;8.0;0.0273972602739726;19.0;0.07914358312158953;12.0;0.05685048322910744;15.0;0.043465662126919734;1.0;0.0037418147801683817;12.0;0.036146755828664376;8.0;0.022318937618569356;22.0;0.05618264467031003;71.0;0.16455754878783665;91.0;0.18997515709484145;57.0;0.1454452666496555;80.0;0.270947639368692;24.0;0.08148299042574862;28.0;0.11377026532851163;22.0;0.08993541002371025;27.0;0.09110848658680615;14.0;0.07259528130671505;50.0;0.2405233788724264;22.0;0.12536326856231125;37.0;0.09254164373968286
9;insurance;4.0;0.01931900507123883;6.0;0.02744990392533626;6.0;0.027985074626865673;3.0;0.02662879460323096;1.0;0.004485310607759587;1.0;0.003881384878124515;12.0;0.04109589041095891;3.0;0.012496355229724664;2.0;0.009475080538184574;11.0;0.031874818893074475;10.0;0.037418147801683815;13.0;0.03915898548105307;9.0;0.025108804820890524;8.0;0.020430052607385465;12.0;0.02781254345709915;13.0;0.02713930815640592;12.0;0.030620056136769585;8.0;0.0270947639368692;4.0;0.013580498404291437;6.0;0.02437934257039535;3.0;0.01226391954868776;4.0;0.013497553568415727;6.0;0.0311122634171636;5.0;0.02405233788724264;9.0;0.05128497350276368;7.0;0.017507878545345405
10;healthca;4.0;0.01931900507123883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.004175278177908603;0.0;0.0;3.0;0.01016053647632595;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0033743883921039317;1.0;0.005185377236193933;0.0;0.0;0.0;0.0;0.0;0.0
11;medicine;3.0;0.014489253803429122;0.0;0.0;1.0;0.004664179104477612;0.0;0.0;1.0;0.004485310607759587;11.0;0.04269523365936966;0.0;0.0;1.0;0.004165451743241554;0.0;0.0;0.0;0.0;2.0;0.007483629560336763;0.0;0.0;5.0;0.013949336011605848;0.0;0.0;8.0;0.0185416956380661;8.0;0.01670111271163441;15.0;0.038275070170961975;3.0;0.01016053647632595;1.0;0.0033951246010728593;1.0;0.004063223761732559;1.0;0.00408797318289592;2.0;0.006748776784207863;1.0;0.005185377236193933;0.0;0.0;3.0;0.017094991167587895;1.0;0.002501125506477915
