;agency_new;amount_agency_new;climate_new;amount_climate_new;covid_new;amount_covid_new;health_new;amount_health_new;possibility_new;amount_possibility_new;social_new;amount_social_new;urgency_new;amount_urgency_new
week_2;organize_workplace, grassroots, everybodyorganize;3;fracke_gas, ecological, sustainability, energydemocracy, climatejustice, climateactionnow, climateact;7;stay_home, testing, save_life, risk_life;4;medical, public_health, pay_sick, doctor, abortion_access, medicine, illness, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, untreated, dehydration, healthcareworkinggroup, healthjusrice;17;momentum;1,0;supply, unemployment, bailout, rent_strike, working_condition, rentstrike, peopleoverprofit, unemployed, student_loan, exploitation, foreclosure, unhoused_neighbor, tenant_protection, wage_theft, unpaid, rentcontrol, decommodify, rentcontrolnow, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;27;unprecedented, unacceptable, million_americans, endanger, outrageous, shameful, suffering, hardship, unimaginable;9
week_3;grassroot, everybodyorganize;2;emission, earth_day, environmental_justice, sustainable, fracke_gas, climatestrike, ecological, climat, ecosoc, decarbonise, vegetarian, climateactionnow, climateact;13;stay_home, save_life, risk_life, dontbargainwithourlive;4;public_health, pay_sick, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;empower, hold_accountable;2,0;unemployment, pay_rent, bailout, freeze, rentstrike, peopleoverprofit, unemployed, foreclosure, rental, low_wage, hungry, unhoused_neighbor, housingisahumanright, nyhomesguarantee, unpaid, rentcontrol, overtime, tenantpower, realrentcontrolnow, housingjusticeforall, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;24;protection, unprecedented, million_americans, endanger, badly_need, outrageous, shameful, suffering, scared, necessity, hardship, devastating, unfair, misery, unimaginable;15
week_4;organize_workplace, everybodyorganize;2;green, earth_day, sustainable, renewable_energy, sustainability, climat, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;12;stay_home, testing, save_life, transit_worker, dontbargainwithourlive;5;public_health, pay_sick, medicare, universal_healthcare, insurance_company, abortion_access, medicine, illness, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;17;hold_accountable;1,0;rent, supply, unemployment, pay_rent, bailout, rent_strike, childcare, rentstrike, peopleoverprofit, unemployed, gentrification, foreclosure, rental, hungry, unhoused_neighbor, housingisahumanright, tuition_free, unpaid, rentcontrol, rentcontrolnow, overtime, unionization, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;29;unprecedented, unacceptable, terrible, big_ass, badly_need, outrageous, shameful, suffering, scared, hardship, devastating, unfair, misery, unimaginable;14
week_5;grassroots, grassroot, everybodyorganize;3;earth_day, sustainable, fracke_gas, climatestrike, renewable_energy, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;13;stay_home, save_life, dontbargainwithourlive;3;public_health, pay_sick, patient, healthy, illness, medica, healthca, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;14;momentum, solidarityforever, transformative;3,0;unemployment, pay_rent, bailout, rent_strike, housing_human, rentstrike, peopleoverprofit, union_busting, rental, low_wage, hungry, unhoused_neighbor, fair_contract, housingisahumanright, nyhomesguarantee, tuition_free, rentcontrol, decommodify, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;29;unprecedented, million_americans, big_ass, class_warfare, necessity, hardship, misery, fuckin;8
week_6;occupy, everybodyorganize;2;emission, earth_day, fracke_gas, renewable_energy, ecological, energydemocracy, ecosoc, decarbonise, vegetarian, climateactionnow, climateact;11;save_life, transit_worker, risk_life, dontbargainwithourlive;4;public_health, pay_sick, pharma, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;empower, solidarityforever, hold_accountable;3,0;bailout, rentstrike, live_wage, peopleoverprofit, unemployed, student_loan, union_busting, low_wage, wage_theft, decommodify, overtime, unionization, tenantpower, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;19;terrible, million_americans, big_ass, badly_need, class_warfare, scared, necessity, hardship, unimaginable;9
week_7;everybodyorganize;1;earth_day, sustainability, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;9;save_life, risk_life, dontbargainwithourlive;3;pay_sick, healthy, medicine, illness, reproductive_right, healthca, pregnancy, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;12;solidarityforever, transformative;2,0;unemployment, pay_rent, working_condition, rentstrike, unemployed, union_busting, foreclosure, low_wage, wage_theft, decommodify, unionization, tenantpower, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;18;endanger, badly_need, outrageous, necessity, hardship, unfair, unimaginable;7
week_8;everybodyorganize;1;earth_day, save_planet, fracke_gas, renewable_energy, sustainability, climat, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;13;testing, save_life, transit_worker, risk_life, dontbargainwithourlive;5;pay_sick, healthy, universal_healthcare, insurance_company, illness, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;15;survive;1,0;rent_strike, freeze, affordable_housing, peopleoverprofit, unemployed, houseless, hungry, unhoused_neighbor, housingisahumanright, tuition_free, unpaid, decommodify, rentcontrolnow, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;21;survival, big_ass, endanger, badly_need, shameful, misery, fuckin, unimaginable;8
week_9;organize_workplace, everybodyorganize;2;save_planet, fracke_gas, climatestrike, sustainability, climat, energydemocracy, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;11;stay_home, save_life, transit_worker, dontbargainwithourlive;4;public_health, pay_sick, medicare, healthy, medicine, illness, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;17;hold_accountable;1,0;unemployment, bailout, rent_strike, rentstrike, inequality, peopleoverprofit, houseless, exploitation, foreclosure, rental, hungry, fair_contract, nyhomesguarantee, tuition_free, decommodify, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;25;survival, million_americans, endanger, badly_need, hardship, devastating, unfair, misery, fuckin, unimaginable;10
week_10;trysocialism, everybodyorganize;2;earth_day, save_planet, fracke_gas, climatestrike, sustainability, climat, energydemocracy, ecosoc, climatejustice, vegetarian, climateactionnow, climateact;12;testing, risk_life, dontbargainwithourlive;3;public_health, pay_sick, healthcare_system, medicine, reproductive_right, healthca, pregnancy, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;13;survive;1,0;unemployment, bailout, employer, rent_strike, rentstrike, peopleoverprofit, unemployed, houseless, union_busting, foreclosure, hungry, tenant_protection, slumlord, decommodify, rentcontrolnow, overtime, unionization, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;24;terrible, million_americans, badly_need, class_warfare, suffering, necessity, hardship, unfair, misery;9
week_11;everybodyorganize;1;earth_day, save_planet, fracke_gas, climatestrike, renewable_energy, ecological, sustainability, energydemocracy, ecosoc, climatejustice, decarbonise, vegetarian, climateactionnow, climateact;14;stay_home, testing, transit_worker, risk_life, dontbargainwithourlive;5;public_health, pay_sick, abortion_access, illness, pharma, reproductive_right, medica, healthca, pregnancy, medicar, nyhealthact, medicarefo, untreated, dehydration, healthcareworkinggroup, healthjusrice;16;survive, hold_accountable;2,0;unemployment, rent_strike, rentstrike, unemployed, foreclosure, tenant_protection, housingisahumanright, tuition_free, rentcontrol, rentcontrolnow, overtime, unionization, tenantpower, realrentcontrolnow, housingjusticeforall, savemomshouse, homesnothandcuff, livingwage, survivorrightsworkerright, unpropertied;20;terrible, million_americans, badly_need, class_warfare, suffering, scared, hardship, devastating, misery;9
