;agency_new;amount_agency_new;climate_new;amount_climate_new;covid_new;amount_covid_new;health_new;amount_health_new;possibility_new;amount_possibility_new;social_new;amount_social_new;urgency_new;amount_urgency_new
week_2;build_mass, demonstration, unionize, collective_action, democratizecome, unleash;6,0;fossil, new_deal, natural_gas, ecofascism, climateemergency, decarbonize, ecology, vegan, unsustainable, greennewd, clima, deforestation, exxonmobil, fridaysforfuture, climateelection, climatic, ecoapartheid, gogreenvotere;18,0;stay_safe, corona, symptom, vaccine, antidote;5,0;disability, medicaid, mental_health, medication;4,0;strengthen, politicalrevolution;2,0;shelter, lose_job, minimum_wage, paycheck, homesguarantee, salary, makebillionairespay, bail_reform, residence, landlordhorrorstory, manufacturer, unionsforall, unskilled, debtor, evictio, rentcontro;16;humanitarian, socialismorbarbarism, destructive, heartbreake, horrifying, incompetent;6,0
week_3;;;renewableheatnow;1,0;frontline;1,0;disease, reproductive_freedom, prevention, singlepayernow, mentalhealthmatter;5,0;rehabilitate;1,0;social_security, eviction_moratorium, cut_social, cancelstudentdebt, accessibility, peoplenotprofit, economicdemocracy, solidarityeconomy, economicjustice, homelessmemorialday, underprivileged;11;countless, disastrous, voter_suppression, illegitimate, abhorrent;5,0
week_4;;;oil_gas, climatecrisis, greenpeace;3,0;epidemic;1,0;diabetic, medicaref;2,0;newyearsrevolution;1,0;workforce, redistribution, organizethesouth, servicesnotsweep, nochristmaseviction, universalrentcontrol, stopwagetheft;7;desperate, exponential, tremendously;3,0
week_5;unstoppable;1,0;environmentalist, exxonknew;2,0;virus;1,0;abortionishealthcare, hospitalize, lifesave, abortionondemand, withoutapology, abortionis, providencepatientsbeforeprofit;7,0;righteous;1,0;small_business, billionaire_exist, socialsecurity, endcashbail;4;frustrate, desperation, heartbroken, unapologetic;4,0
week_6;hunger_strike, riseup;2,0;environmentaljustice, systemchangenotclimatechange, ecofasci;3,0;;;cut_medicaid, sick_leave, passnyhealth, chronic, planned, healthjustice, medically, exposefakeclinic, healthjusticenow, hospitalization, medicarefora, goboldonhealthcare;12,0;deescalation, empowerment, opportune;3,0;economic_crisis, safety_net, goodcauseeviction, noeviction, stopthesweep, stopthesweeps, cuomoshousingcrisis, evictthespeculators, realrentcontrol;9;emergenc, exponent;2,0
week_7;;;greennew, climatebanner, greennewdealva, climateactivist, greenjobs, sunrisemovement;6,0;reopen;1,0;uninsured, medic, obamacare, newyorkhealthact, disabilityrights, insurancehorrorstory, patientright, pharmacology, unitedhealth;9,0;;;nursing_home, underinsure, uninsure, poorpeoplescampaign, solutionsnotsweeps, houselessness, abolishlandlords, affordablehouse, evictthespeculator, homeles, minimumwage, tuitionfreecollege, unemploymentrate;13;mortality, heartbreaking;2,0
week_8;jointhemovement;1,0;greenwashe, nopipeline;2,0;wear_mask, sanitize;2,0;abortionisawomansright, chicagolovesmedicareforall;2,0;changemaker, oportunidad;2,0;realrentcontr, wagetransparency;2;;
week_9;;;climateaction, ecologically, socialecology;3,0;coronavirus, ppe, outbreak;3,0;sickness;1,0;;;moratorium_eviction, understaffe, endwagetheft, evictng;4;;
week_10;;;ecosystem, gettheleadoutcoalition, orclimateaction;3,0;immune;1,0;fundabortionbuildpower, peteshealthtax, blackhealthcoalitionofwi;3,0;;;stimulus, blacklivesmatteratschool, servicesnotsweeps, feedthepoor, homesforallmd, nocontractnopeace, reclaimrentcontrol;7;horrendous, unjustly, unspeakable;3,0
week_11;;;nonbkpipeline, greenn;2,0;epidemiologist;1,0;healthcareisahumanright, healthpolicyvalentine;2,0;;;lifttheban_rent, utility_shutoff, decommodifye, classstruggle, homesgaurantee, homesnotgame, homesnothotel;7;agonize, pitiful;2,0
