;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;win;398;0.488649338850078;2032;2.4948127048828104
1;power;304;0.3732396960060897;1081;1.327210892705865
2;change;161;0.19766970742427775;670;0.822600645802895
3;justice;137;0.16820341563432334;551;0.6764969490110376
4;provide;75;0.09208216184360767;571;0.701052192169333
5;hope;188;0.23081928568797652;389;0.47759947942884506
6;safety;44;0.05402153494824982;348;0.42726123095433954
7;imagine;73;0.08962663752777812;248;0.30448501516286264
8;possible;52;0.06384363221156798;278;0.3413178799003057
9;survive;35;0.04297167552701691;85;0.10435978342275534
10;momentum;9;0.011049859421232919;61;0.0748934916328009
11;newyearsrevolution;52;0.06384363221156798;0;0.0
12;empower;11;0.013505383737062455;39;0.04788272415867598
13;strengthen;9;0.011049859421232919;30;0.03683286473744306
14;solidarityforever;7;0.00859433510540338;29;0.03560510257952829
15;hold_accountable;8;0.00982209726331815;26;0.03192181610578399
16;transformative;6;0.007366572947488613;25;0.03069405394786922
17;politicalrevolution;1;0.0012277621579147688;21;0.025783005316210143
18;deescalation;10;0.012277621579147687;1;0.0012277621579147688
19;righteous;1;0.0012277621579147688;10;0.012277621579147687
20;rehabilitate;1;0.0012277621579147688;7;0.00859433510540338
21;empowerment;1;0.0012277621579147688;4;0.004911048631659075
22;feasible;0;0.0;4;0.004911048631659075
23;opportune;1;0.0012277621579147688;1;0.0012277621579147688
24;changemaker;0;0.0;1;0.0012277621579147688
25;oportunidad;0;0.0;1;0.0012277621579147688
