;word;df_week_1;pecent_rdf_week_1;df_week_2;pecent_rdf_week_2;df_week_3;pecent_rdf_week_3;df_week_4;pecent_rdf_week_4;df_week_5;pecent_rdf_week_5;df_week_6;pecent_rdf_week_6;df_week_7;pecent_rdf_week_7;df_week_8;pecent_rdf_week_8;df_week_9;pecent_rdf_week_9;df_week_10;pecent_rdf_week_10;df_week_11;pecent_rdf_week_11;df_week_12;pecent_rdf_week_12;df_week_13;pecent_rdf_week_13;df_week_14;pecent_rdf_week_14;df_week_15;pecent_rdf_week_15;df_week_16;pecent_rdf_week_16;df_week_17;pecent_rdf_week_17;df_week_18;pecent_rdf_week_18;df_week_19;pecent_rdf_week_19;df_week_20;pecent_rdf_week_20;df_week_21;pecent_rdf_week_21;df_week_22;pecent_rdf_week_22;df_week_23;pecent_rdf_week_23;df_week_24;pecent_rdf_week_24;df_week_25;pecent_rdf_week_25;df_week_26;pecent_rdf_week_26
0;win;51;0,0626158700536532;58;0,07121020515905659;67;0,0822600645802895;37;0,04542719984284644;52;0,06384363221156798;47;0,05770482142199413;86;0,10558754558067011;65;0,07980454026445996;88;0,10804306989649964;282;0,3462289285319648;186;0,22836376137214698;147;0,180481037213471;226;0,27747424768873774;239;0,2934351557416297;178;0,21854166410882883;94;0,11540964284398826;53;0,06507139436948274;41;0,05033824847450552;105;0,12891502658105072;63;0,07734901594863043;52;0,06384363221156798;53;0,06507139436948274;24;0,02946629178995445;58;0,07121020515905659;29;0,03560510257952829;49;0,06016034573782367
1;power;51;0,0626158700536532;44;0,05402153494824982;44;0,05402153494824982;31;0,03806062689535783;56;0,06875468084322704;43;0,05279377279033506;35;0,04297167552701691;48;0,0589325835799089;44;0,05402153494824982;79;0,09699321047526674;33;0,04051615121118737;67;0,0822600645802895;55;0,06752691868531228;70;0,08594335105403382;49;0,06016034573782367;43;0,05279377279033506;62;0,07612125379071566;65;0,07980454026445996;86;0,10558754558067011;52;0,06384363221156798;85;0,10435978342275534;82;0,10067649694901104;26;0,03192181610578399;56;0,06875468084322704;21;0,025783005316210143;58;0,07121020515905659
2;change;17;0,02087195668455107;35;0,04297167552701691;27;0,033149578263698756;15;0,01841643236872153;17;0,02087195668455107;23;0,028238529632039683;27;0,033149578263698756;28;0,03437734042161352;33;0,04051615121118737;48;0,0589325835799089;24;0,02946629178995445;44;0,05402153494824982;92;0,11295411852815873;56;0,06875468084322704;43;0,05279377279033506;51;0,0626158700536532;33;0,04051615121118737;21;0,025783005316210143;48;0,0589325835799089;18;0,022099718842465838;26;0,03192181610578399;15;0,01841643236872153;20;0,024555243158295374;22;0,02701076747412491;17;0,02087195668455107;31;0,03806062689535783
3;justice;20;0,024555243158295374;14;0,01718867021080676;29;0,03560510257952829;6;0,007366572947488613;16;0,0196441945266363;30;0,03683286473744306;22;0,02701076747412491;39;0,04788272415867598;16;0,0196441945266363;29;0,03560510257952829;32;0,0392883890532726;22;0,02701076747412491;29;0,03560510257952829;39;0,04788272415867598;28;0,03437734042161352;27;0,033149578263698756;13;0,015960908052891996;8;0,00982209726331815;30;0,03683286473744306;15;0,01841643236872153;23;0,028238529632039683;14;0,01718867021080676;24;0,02946629178995445;28;0,03437734042161352;12;0,014733145894977226;123;0,15101474542351656
4;provide;11;0,013505383737062455;7;0,00859433510540338;7;0,00859433510540338;7;0,00859433510540338;9;0,011049859421232919;12;0,014733145894977226;22;0,02701076747412491;13;0,015960908052891996;18;0,022099718842465838;14;0,01718867021080676;9;0,011049859421232919;21;0,025783005316210143;34;0,04174391336910214;18;0,022099718842465838;64;0,0785767781065452;85;0,10435978342275534;49;0,06016034573782367;41;0,05033824847450552;24;0,02946629178995445;31;0,03806062689535783;44;0,05402153494824982;30;0,03683286473744306;22;0,02701076747412491;18;0,022099718842465838;10;0,012277621579147687;26;0,03192181610578399
5;hope;21;0,025783005316210143;37;0,04542719984284644;25;0,03069405394786922;17;0,02087195668455107;25;0,03069405394786922;30;0,03683286473744306;33;0,04051615121118737;25;0,03069405394786922;16;0,0196441945266363;19;0,023327481000380606;19;0,023327481000380606;21;0,025783005316210143;27;0,033149578263698756;42;0,051566010632420285;23;0,028238529632039683;33;0,04051615121118737;19;0,023327481000380606;19;0,023327481000380606;48;0,0589325835799089;13;0,015960908052891996;7;0,00859433510540338;10;0,012277621579147687;11;0,013505383737062455;7;0,00859433510540338;12;0,014733145894977226;18;0,022099718842465838
6;safety;2;0,0024555243158295376;6;0,007366572947488613;5;0,0061388107895738436;2;0,0024555243158295376;21;0,025783005316210143;3;0,0036832864737443064;5;0,0061388107895738436;8;0,00982209726331815;6;0,007366572947488613;6;0,007366572947488613;1;0,0012277621579147688;1;0,0012277621579147688;8;0,00982209726331815;5;0,0061388107895738436;16;0,0196441945266363;62;0,07612125379071566;33;0,04051615121118737;45;0,055249297106164594;20;0,024555243158295374;14;0,01718867021080676;21;0,025783005316210143;18;0,022099718842465838;20;0,024555243158295374;23;0,028238529632039683;14;0,01718867021080676;27;0,033149578263698756
7;imagine;5;0,0061388107895738436;6;0,007366572947488613;15;0,01841643236872153;14;0,01718867021080676;17;0,02087195668455107;4;0,004911048631659075;12;0,014733145894977226;10;0,012277621579147687;6;0,007366572947488613;19;0,023327481000380606;14;0,01718867021080676;23;0,028238529632039683;17;0,02087195668455107;16;0,0196441945266363;18;0,022099718842465838;21;0,025783005316210143;13;0,015960908052891996;13;0,015960908052891996;17;0,02087195668455107;14;0,01718867021080676;9;0,011049859421232919;5;0,0061388107895738436;10;0,012277621579147687;8;0,00982209726331815;3;0,0036832864737443064;12;0,014733145894977226
8;possible;4;0,004911048631659075;9;0,011049859421232919;13;0,015960908052891996;2;0,0024555243158295376;6;0,007366572947488613;10;0,012277621579147687;8;0,00982209726331815;8;0,00982209726331815;6;0,007366572947488613;16;0,0196441945266363;17;0,02087195668455107;18;0,022099718842465838;20;0,024555243158295374;17;0,02087195668455107;37;0,04542719984284644;33;0,04051615121118737;20;0,024555243158295374;10;0,012277621579147687;19;0,023327481000380606;8;0,00982209726331815;8;0,00982209726331815;12;0,014733145894977226;3;0,0036832864737443064;10;0,012277621579147687;2;0,0024555243158295376;14;0,01718867021080676
9;survive;4;0,004911048631659075;8;0,00982209726331815;3;0,0036832864737443064;6;0,007366572947488613;5;0,0061388107895738436;6;0,007366572947488613;3;0,0036832864737443064;0;0,0;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;3;0,0036832864737443064;6;0,007366572947488613;12;0,014733145894977226;19;0,023327481000380606;10;0,012277621579147687;3;0,0036832864737443064;7;0,00859433510540338;4;0,004911048631659075;2;0,0024555243158295376;4;0,004911048631659075;2;0,0024555243158295376;4;0,004911048631659075;3;0,0036832864737443064
10;momentum;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;3;0,0036832864737443064;3;0,0036832864737443064;1;0,0012277621579147688;6;0,007366572947488613;7;0,00859433510540338;7;0,00859433510540338;7;0,00859433510540338;7;0,00859433510540338;12;0,014733145894977226;3;0,0036832864737443064;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688
11;newyearsrevolution;0;0,0;0;0,0;0;0,0;4;0,004911048631659075;46;0,056477059264079366;2;0,0024555243158295376;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
12;empower;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;4;0,004911048631659075;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;4;0,004911048631659075;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;0;0,0;7;0,00859433510540338;2;0,0024555243158295376;4;0,004911048631659075;1;0,0012277621579147688;0;0,0;4;0,004911048631659075;1;0,0012277621579147688;2;0,0024555243158295376
13;strengthen;0;0,0;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;4;0,004911048631659075;0;0,0;4;0,004911048631659075;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;5;0,0061388107895738436;1;0,0012277621579147688;1;0,0012277621579147688;4;0,004911048631659075;0;0,0;0;0,0;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;2;0,0024555243158295376
14;solidarityforever;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;4;0,004911048631659075;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;5;0,0061388107895738436;0;0,0;2;0,0024555243158295376;8;0,00982209726331815;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;2;0,0024555243158295376
15;hold_accountable;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;0;0,0;3;0,0036832864737443064;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;5;0,0061388107895738436;1;0,0012277621579147688;0;0,0;8;0,00982209726331815
16;transformative;1;0,0012277621579147688;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;3;0,0036832864737443064;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;1;0,0012277621579147688;4;0,004911048631659075;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;0;0,0
17;politicalrevolution;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0036832864737443064;3;0,0036832864737443064;3;0,0036832864737443064;4;0,004911048631659075;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;0;0,0;3;0,0036832864737443064;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
18;deescalation;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;10;0,012277621579147687;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
19;righteous;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;3;0,0036832864737443064;0;0,0;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688
20;rehabilitate;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0
21;empowerment;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
22;feasible;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688
23;opportune;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
24;changemaker;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
25;oportunidad;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
