;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;win;429.0;0.28125983425993917;2275.0;0.3921879606053658
1;power;326.0;0.21373124934438267;1156.0;0.19928320108123207
2;hope;192.0;0.1258785272212315;399.0;0.06878373462924876
3;change;165.0;0.10817685933074583;706.0;0.12170756052192891
4;justice;149.0;0.09768698206230987;580.0;0.09998638116532405
5;imagine;88.0;0.05769432497639777;255.0;0.04395952965027178
6;provide;77.0;0.05048253435434805;589.0;0.1015378939765101
7;possible;55.0;0.036058953110248614;286.0;0.04930362933324599
8;newyearsrevolution;52.0;0.03409210112241687;0.0;0.0
9;safety;50.0;0.03278086646386237;359.0;0.06188812213508849
10;survive;36.0;0.02360222385398091;86.0;0.014825566862444598
11;empower;11.0;0.007211790622049722;39.0;0.006723222181806271
12;deescalation;10.0;0.006556173292772474;1.0;0.00017239031235400697
13;momentum;9.0;0.005900555963495227;61.0;0.010515809053594425
14;strengthen;9.0;0.005900555963495227;30.0;0.005171709370620208
15;hold_accountable;8.0;0.0052449386342179796;26.0;0.004482148121204181
16;solidarityforever;7.0;0.004589321304940732;29.0;0.004999319058266202
17;transformative;6.0;0.003933703975663484;25.0;0.004309757808850174
18;politicalrevolution;1.0;0.0006556173292772474;21.0;0.0036201965594341457
19;rehabilitate;1.0;0.0006556173292772474;7.0;0.0012067321864780486
20;righteous;1.0;0.0006556173292772474;10.0;0.0017239031235400696
21;empowerment;1.0;0.0006556173292772474;4.0;0.0006895612494160279
22;opportune;1.0;0.0006556173292772474;1.0;0.00017239031235400697
23;feasible;0.0;0.0;4.0;0.0006895612494160279
24;oportunidad;0.0;0.0;1.0;0.00017239031235400697
25;changemaker;0.0;0.0;1.0;0.00017239031235400697
Total;winpowerhopechangejusticeimagineprovidepossiblenewyearsrevolutionsafetysurviveempowerdeescalationmomentumstrengthenhold_accountablesolidarityforevertransformativepoliticalrevolutionrehabilitaterighteousempowermentopportunefeasibleoportunidadchangemaker;1684.0;1.1040595825028854;6951.0;1.198285061172703
