;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;worker;439;0.5389875873245835;3286;4.03442645090793
1;work;700;0.8594335105403382;2959;3.6329482252698004
2;work_class;229;0.28115753416248207;1110;1.3628159952853933
3;housing;256;0.3143071124261808;757;0.9294159535414799
4;labor;186;0.22836376137214698;740;0.9085439968569288
5;class;281;0.34500116637405004;518;0.6359807977998502
6;tenant;141;0.1731144642659824;589;0.7231519110117988
7;socialism;180;0.22099718842465838;551;0.6764969490110376
8;rent;42;0.051566010632420285;655;0.8041842134341736
9;job;114;0.13996488600228366;542;0.6654470895898047
10;social;147;0.180481037213471;443;0.5438986359562425
11;medicareforall;144;0.1767977507397267;443;0.5438986359562425
12;landlord;87;0.10681530773858489;472;0.5795037385357709
13;cancelrent;0;0.0;549;0.674041424695208
14;eviction;100;0.12277621579147688;398;0.488649338850078
15;economic;61;0.0748934916328009;380;0.46654962000761213
16;economy;50;0.06138810789573844;339;0.4162113715331066
17;homeless;65;0.07980454026445996;254;0.3118515881103513
18;wage;63;0.07734901594863043;188;0.23081928568797652
19;basic;21;0.025783005316210143;188;0.23081928568797652
20;supply;11;0.013505383737062455;193;0.2369580964775504
21;unemployment;2;0.0024555243158295376;210;0.25783005316210145
22;shelter;48;0.0589325835799089;146;0.17925327505555624
23;pay_rent;8;0.00982209726331815;182;0.22345271274048792
24;workers;22;0.02701076747412491;161;0.19766970742427775
25;cancel_rent;0;0.0;190;0.23327481000380607
26;bailout;3;0.0036832864737443064;167;0.20503628037176636
27;poverty;52;0.06384363221156798;106;0.13014278873896548
28;employer;28;0.03437734042161352;140;0.17188670210806764
29;rent_control;50;0.06138810789573844;117;0.14364817247602796
30;unhoused;31;0.03806062689535783;138;0.16943117779223807
31;rent_strike;11;0.013505383737062455;143;0.17556998858181191
32;evict;51;0.0626158700536532;110;0.13505383737062457
33;homelessness;59;0.07243796731697136;101;0.12400397794939165
34;freeze;14;0.01718867021080676;117;0.14364817247602796
35;hazard_pay;0;0.0;130;0.15960908052891992
36;lose_job;10;0.012277621579147687;123;0.15101474542351656
37;stimulus;0;0.0;107;0.13137055089688024
38;rent_mortgage;0;0.0;109;0.1338260752127098
39;childcare;18;0.022099718842465838;85;0.10435978342275534
40;social_security;8;0.00982209726331815;94;0.11540964284398826
41;affordable_housing;40;0.04911048631659075;60;0.07366572947488612
42;student_debt;27;0.033149578263698756;72;0.08839887536986335
43;minimum_wage;30;0.03683286473744306;66;0.08103230242237475
44;eviction_moratorium;1;0.0012277621579147688;86;0.10558754558067011
45;moratorium_eviction;0;0.0;95;0.11663740500190303
46;working_condition;9;0.011049859421232919;85;0.10435978342275534
47;housing_human;28;0.03437734042161352;65;0.07980454026445996
48;paycheck;7;0.00859433510540338;61;0.0748934916328009
49;rent_freeze;0;0.0;58;0.07121020515905659
50;rentstrike;3;0.0036832864737443064;81;0.09944873479109627
51;inequality;18;0.022099718842465838;64;0.0785767781065452
52;low_income;22;0.02701076747412491;58;0.07121020515905659
53;live_wage;17;0.02087195668455107;61;0.0748934916328009
54;working_class;17;0.02087195668455107;61;0.0748934916328009
55;peopleoverprofit;11;0.013505383737062455;62;0.07612125379071566
56;unemployed;2;0.0024555243158295376;68;0.08348782673820428
57;economic_crisis;2;0.0024555243158295376;63;0.07734901594863043
58;suspend_rent;0;0.0;63;0.07734901594863043
59;student_loan;6;0.007366572947488613;55;0.06752691868531228
60;houseless;20;0.024555243158295374;38;0.04665496200076121
61;homesguarantee;14;0.01718867021080676;46;0.056477059264079366
62;cut_social;2;0.0024555243158295376;55;0.06752691868531228
63;exploitation;17;0.02087195668455107;38;0.04665496200076121
64;gentrification;16;0.0196441945266363;38;0.04665496200076121
65;mortgage_payment;0;0.0;53;0.06507139436948274
66;rentfreezenow;0;0.0;48;0.0589325835799089
67;salary;7;0.00859433510540338;41;0.05033824847450552
68;safety_net;1;0.0012277621579147688;47;0.05770482142199413
69;relief_fund;0;0.0;47;0.05770482142199413
70;small_business;1;0.0012277621579147688;44;0.05402153494824982
71;union_busting;6;0.007366572947488613;39;0.04788272415867598
72;eviction_foreclosure;0;0.0;44;0.05402153494824982
73;foreclosure;3;0.0036832864737443064;38;0.04665496200076121
74;peoplesbailout;0;0.0;41;0.05033824847450552
75;rental;5;0.0061388107895738436;36;0.044199437684931675
76;lifttheban_rent;0;0.0;39;0.04788272415867598
77;billionaire_exist;1;0.0012277621579147688;38;0.04665496200076121
78;low_wage;3;0.0036832864737443064;36;0.044199437684931675
79;file_unemployment;0;0.0;38;0.04665496200076121
80;hungry;8;0.00982209726331815;29;0.03560510257952829
81;unhoused_neighbor;5;0.0061388107895738436;31;0.03806062689535783
82;fair_contract;19;0.023327481000380606;17;0.02087195668455107
83;tenant_protection;8;0.00982209726331815;28;0.03437734042161352
84;housingisahumanright;19;0.023327481000380606;15;0.01841643236872153
85;nyhomesguarantee;22;0.02701076747412491;11;0.013505383737062455
86;utility_payment;0;0.0;32;0.0392883890532726
87;wage_theft;6;0.007366572947488613;26;0.03192181610578399
88;makebillionairespay;7;0.00859433510540338;23;0.028238529632039683
89;stimulus_package;0;0.0;30;0.03683286473744306
90;bail_reform;6;0.007366572947488613;20;0.024555243158295374
91;tuition_free;18;0.022099718842465838;11;0.013505383737062455
92;unpaid;7;0.00859433510540338;19;0.023327481000380606
93;foreclosure_utility;0;0.0;28;0.03437734042161352
94;rentfreeze;0;0.0;27;0.033149578263698756
95;workforce;3;0.0036832864737443064;23;0.028238529632039683
96;evictionmoratorium;0;0.0;27;0.033149578263698756
97;nursing_home;1;0.0012277621579147688;24;0.02946629178995445
98;rentcontrol;10;0.012277621579147687;17;0.02087195668455107
99;slumlord;10;0.012277621579147687;16;0.0196441945266363
100;cancelmortgage;0;0.0;25;0.03069405394786922
101;residence;15;0.01841643236872153;7;0.00859433510540338
102;cancelrentnj;0;0.0;23;0.028238529632039683
103;canceltherent;0;0.0;23;0.028238529632039683
104;mortgage_cancellation;0;0.0;23;0.028238529632039683
105;decommodify;4;0.004911048631659075;18;0.022099718842465838
106;utility_shutoff;0;0.0;22;0.02701076747412491
107;landlordhorrorstory;20;0.024555243158295374;0;0.0
108;cancelstudentdebt;1;0.0012277621579147688;18;0.022099718842465838
109;redistribution;2;0.0024555243158295376;16;0.0196441945266363
110;protectallworker;0;0.0;18;0.022099718842465838
111;accessibility;3;0.0036832864737443064;13;0.015960908052891996
112;rentcontrolnow;10;0.012277621579147687;7;0.00859433510540338
113;organizethesouth;2;0.0024555243158295376;14;0.01718867021080676
114;manufacturer;3;0.0036832864737443064;12;0.014733145894977226
115;maydaystrike;0;0.0;15;0.01841643236872153
116;unionsforall;4;0.004911048631659075;11;0.013505383737062455
117;unskilled;1;0.0012277621579147688;14;0.01718867021080676
118;overtime;3;0.0036832864737443064;11;0.013505383737062455
119;underinsure;1;0.0012277621579147688;13;0.015960908052891996
120;rentzero;0;0.0;13;0.015960908052891996
121;uninsure;1;0.0012277621579147688;11;0.013505383737062455
122;unionization;3;0.0036832864737443064;9;0.011049859421232919
123;cancelrentwisconsin;0;0.0;11;0.013505383737062455
124;cancelmortgageswisconsin;0;0.0;10;0.012277621579147687
125;socialsecurity;1;0.0012277621579147688;9;0.011049859421232919
126;suspendrent;0;0.0;9;0.011049859421232919
127;debtor;2;0.0024555243158295376;4;0.004911048631659075
128;endcashbail;3;0.0036832864737443064;5;0.0061388107895738436
129;goodcauseeviction;8;0.00982209726331815;0;0.0
130;poorpeoplescampaign;1;0.0012277621579147688;7;0.00859433510540338
131;servicesnotsweep;1;0.0012277621579147688;7;0.00859433510540338
132;evicti;0;0.0;7;0.00859433510540338
133;homesforall;0;0.0;7;0.00859433510540338
134;norent;0;0.0;7;0.00859433510540338
135;workerprotection;0;0.0;7;0.00859433510540338
136;cancelrentjb;0;0.0;6;0.007366572947488613
137;utilitiesstrike;0;0.0;6;0.007366572947488613
138;housingishealthcare;0;0.0;5;0.0061388107895738436
139;solutionsnotsweeps;1;0.0012277621579147688;4;0.004911048631659075
140;spreadthestrike;0;0.0;5;0.0061388107895738436
141;tenantpower;2;0.0024555243158295376;3;0.0036832864737443064
142;understaffe;0;0.0;5;0.0061388107895738436
143;blackworkersmatter;0;0.0;4;0.004911048631659075
144;debtfreefuture;0;0.0;4;0.004911048631659075
145;evictio;3;0.0036832864737443064;1;0.0012277621579147688
146;houselessness;3;0.0036832864737443064;1;0.0012277621579147688
147;precariousness;0;0.0;4;0.004911048631659075
148;rentrelief;0;0.0;4;0.004911048631659075
149;abolishlandlords;1;0.0012277621579147688;2;0.0024555243158295376
150;affordablehouse;1;0.0012277621579147688;2;0.0024555243158295376
151;blacklivesmatteratschool;0;0.0;3;0.0036832864737443064
152;cancelbills;0;0.0;3;0.0036832864737443064
153;cbusevictionfreeze;0;0.0;3;0.0036832864737443064
154;decommodifye;0;0.0;3;0.0036832864737443064
155;forbearance;0;0.0;3;0.0036832864737443064
156;hazardpay;0;0.0;3;0.0036832864737443064
