;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;work;752.0;0.4930242316164901;3171.0;0.5466496804745561
1;worker;479.0;0.3140407007238015;3722.0;0.6416367425816139
2;class;303.0;0.19865205077100595;541.0;0.09326315898351777
3;housing;283.0;0.18553970418546104;830.0;0.14308395925382578
4;work_class;258.0;0.16914927095352986;1145.0;0.19738690764533798
5;labor;211.0;0.13833525647749922;806.0;0.1389465917573296
6;socialism;185.0;0.12128920591629078;584.0;0.10067594241474007
7;tenant;152.0;0.09965383405014161;663.0;0.11429477709070661
8;social;151.0;0.09899821672086435;450.0;0.07757564055930313
9;medicareforall;145.0;0.09506451274520088;448.0;0.07723085993459511
10;job;120.0;0.0786740795132697;560.0;0.0965385749182439
11;eviction;105.0;0.06883981957411099;434.0;0.07481739556163901
12;landlord;90.0;0.05900555963495228;495.0;0.08533320461523344
13;homeless;70.0;0.04589321304940732;261.0;0.044993871524395816
14;wage;65.0;0.042615126403021085;194.0;0.03344372059667735
15;economic;62.0;0.04064827441518934;387.0;0.0667150508810007
16;homelessness;59.0;0.0386814224273576;102.0;0.017583811860108708
17;poverty;58.0;0.03802580509808035;116.0;0.01999727623306481
18;rent_control;51.0;0.03343648379313962;119.0;0.020514447170126827
19;evict;51.0;0.03343648379313962;113.0;0.019480105296002786
20;shelter;51.0;0.03343648379313962;157.0;0.027065279039579095
21;economy;50.0;0.03278086646386237;365.0;0.06292246400921254
22;rent;45.0;0.02950277981747614;708.0;0.12205234114663693
23;affordable_housing;41.0;0.026880310500367148;61.0;0.010515809053594425
24;unhoused;31.0;0.02032413720759467;139.0;0.023962253417206966
25;minimum_wage;30.0;0.019668519878317425;68.0;0.011722541240072472
26;employer;29.0;0.019012902549040176;143.0;0.024651814666622994
27;housing_human;28.0;0.018357285219762928;65.0;0.011205370303010451
28;student_debt;28.0;0.018357285219762928;74.0;0.012756883114196513
29;low_income;23.0;0.015079198573376692;60.0;0.010343418741240416
30;workers;22.0;0.014423581244099443;170.0;0.029306353100181183
31;nyhomesguarantee;22.0;0.014423581244099443;11.0;0.0018962934358940765
32;basic;21.0;0.013767963914822197;197.0;0.03396089153373937
33;houseless;20.0;0.013112346585544948;41.0;0.007068002806514285
34;landlordhorrorstory;20.0;0.013112346585544948;0.0;0.0
35;fair_contract;19.0;0.012456729256267701;17.0;0.002930635310018118
36;childcare;19.0;0.012456729256267701;88.0;0.015170347487152612
37;housingisahumanright;19.0;0.012456729256267701;15.0;0.002585854685310104
38;inequality;18.0;0.011801111926990454;65.0;0.011205370303010451
39;tuition_free;18.0;0.011801111926990454;11.0;0.0018962934358940765
40;exploitation;17.0;0.011145494597713208;41.0;0.007068002806514285
41;working_class;17.0;0.011145494597713208;61.0;0.010515809053594425
42;live_wage;17.0;0.011145494597713208;61.0;0.010515809053594425
43;gentrification;16.0;0.010489877268435959;38.0;0.0065508318694522645
44;residence;16.0;0.010489877268435959;8.0;0.0013791224988320557
45;freeze;14.0;0.009178642609881464;121.0;0.02085922779483484
46;homesguarantee;14.0;0.009178642609881464;46.0;0.00792995436828432
47;supply;12.0;0.007867407951326968;206.0;0.03551240434492543
48;peopleoverprofit;11.0;0.007211790622049722;62.0;0.01068819936594843
49;rent_strike;11.0;0.007211790622049722;156.0;0.026892888727225082
50;paycheck;11.0;0.007211790622049722;80.0;0.013791224988320557
51;slumlord;10.0;0.006556173292772474;16.0;0.0027582449976641115
52;rentcontrolnow;10.0;0.006556173292772474;7.0;0.0012067321864780486
53;rentcontrol;10.0;0.006556173292772474;17.0;0.002930635310018118
54;lose_job;10.0;0.006556173292772474;124.0;0.02137639873189686
55;working_condition;9.0;0.005900555963495227;85.0;0.014653176550090592
56;social_security;9.0;0.005900555963495227;97.0;0.016721860298338675
57;hungry;8.0;0.0052449386342179796;30.0;0.005171709370620208
58;pay_rent;8.0;0.0052449386342179796;193.0;0.03327133028432334
59;tenant_protection;8.0;0.0052449386342179796;28.0;0.004826928745912194
60;salary;8.0;0.0052449386342179796;41.0;0.007068002806514285
61;goodcauseeviction;8.0;0.0052449386342179796;0.0;0.0
62;unpaid;7.0;0.004589321304940732;22.0;0.003792586871788153
63;makebillionairespay;7.0;0.004589321304940732;23.0;0.00396497718414216
64;student_loan;6.0;0.003933703975663484;56.0;0.009653857491824389
65;wage_theft;6.0;0.003933703975663484;26.0;0.004482148121204181
66;union_busting;6.0;0.003933703975663484;39.0;0.006723222181806271
67;bail_reform;6.0;0.003933703975663484;23.0;0.00396497718414216
68;unhoused_neighbor;5.0;0.003278086646386237;32.0;0.005516489995328223
