;word;frequency_week_1;percent_week_1;frequency_week_2;percent_week_2;frequency_week_3;percent_week_3;frequency_week_4;percent_week_4;frequency_week_5;percent_week_5;frequency_week_6;percent_week_6;frequency_week_7;percent_week_7;frequency_week_8;percent_week_8;frequency_week_9;percent_week_9;frequency_week_10;percent_week_10;frequency_week_11;percent_week_11;frequency_week_12;percent_week_12;frequency_week_13;percent_week_13;frequency_week_14;percent_week_14;frequency_week_15;percent_week_15;frequency_week_16;percent_week_16;frequency_week_17;percent_week_17;frequency_week_18;percent_week_18;frequency_week_19;percent_week_19;frequency_week_20;percent_week_20;frequency_week_21;percent_week_21;frequency_week_22;percent_week_22;frequency_week_23;percent_week_23;frequency_week_24;percent_week_24;frequency_week_25;percent_week_25;frequency_week_26;percent_week_26
0;work;118.0;0.5699106496015455;122.0;0.5581480464818372;121.0;0.5643656716417911;81.0;0.7189774542872359;70.0;0.3139717425431711;103.0;0.399782642446825;137.0;0.46917808219178087;137.0;0.5706668888240929;95.0;0.45006632556376724;170.0;0.49261083743842365;131.0;0.49017773620205796;139.0;0.418699921682029;152.0;0.4240598147528178;252.0;0.6435466571326421;248.0;0.5747925647800491;240.0;0.5010333813490324;237.0;0.6047461087011993;172.0;0.5825374246426879;183.0;0.6213078019963333;168.0;0.6826215919710699;142.0;0.5804921919712207;193.0;0.6512569596760587;138.0;0.7155820585947628;116.0;0.5580142389840292;94.0;0.5356430565844208;164.0;0.41018458306237804
1;worker;73.0;0.3525718425501087;67.0;0.30652392716625493;67.0;0.3125;48.0;0.42606071365169534;52.0;0.23323615160349853;74.0;0.2872224809812141;98.0;0.3356164383561644;82.0;0.3415670429458075;72.0;0.34110289937464466;121.0;0.35062300782381917;105.0;0.39289055191768;139.0;0.418699921682029;70.0;0.19529070416248187;93.0;0.23749936156085605;199.0;0.4612246789968943;423.0;0.8830713346276695;384.0;0.9798417963766267;385.0;1.3039355144618303;211.0;0.7163712908263733;164.0;0.6663686969241396;197.0;0.8053307170304962;468.0;1.5792137675046398;168.0;0.8711433756805809;181.0;0.8706946315181836;133.0;0.7578779417630634;127.0;0.3176429393226952
2;labor;44.0;0.21250905578362717;35.0;0.16012443956446154;39.0;0.18190298507462685;16.0;0.14202023788389845;22.0;0.09867683337071093;23.0;0.08927185219686384;32.0;0.1095890410958904;40.0;0.1666180697296622;29.0;0.13738866780367634;37.0;0.10721529991306866;36.0;0.13470533208606172;50.0;0.1506114826194349;25.0;0.06974668005802924;31.0;0.07916645385361867;38.0;0.08807305428081398;63.0;0.131521262604121;49.0;0.12503189589180913;50.0;0.1693422746054325;43.0;0.14599035784613296;36.0;0.14627605542237213;40.0;0.1635189273158368;75.0;0.2530791294077948;39.0;0.20222971221156338;51.0;0.2453338464498749;32.0;0.1823465724542709;42.0;0.10504727127207242
3;housing;40.0;0.19319005071238832;48.0;0.21959923140269008;30.0;0.13992537313432835;24.0;0.21303035682584767;23.0;0.10316214397847051;43.0;0.16689954975935414;75.0;0.2568493150684931;47.0;0.19577623193235308;45.0;0.21318931210915293;38.0;0.11011301072152999;34.0;0.12722170252572498;48.0;0.1445870233146575;33.0;0.09206561767659859;38.0;0.09704274988508095;79.0;0.18309924442590275;112.0;0.23381557796288177;44.0;0.11227353916815515;31.0;0.10499221025536815;35.0;0.11882936103755008;29.0;0.1178334890902442;46.0;0.18804676641321233;53.0;0.17884258478150836;29.0;0.15037593984962408;22.0;0.10583028670386763;36.0;0.20513989401105473;31.0;0.07753489070081536
4;socialism;32.0;0.15455204056991065;34.0;0.15554945557690547;16.0;0.0746268656716418;13.0;0.11539144328066749;22.0;0.09867683337071093;30.0;0.11644154634373545;38.0;0.13013698630136986;28.0;0.11663264881076353;34.0;0.16107636914913778;58.0;0.16806722689075632;27.0;0.1010289990645463;43.0;0.129525875052714;58.0;0.16181229773462785;40.0;0.10215026303692731;47.0;0.10893246187363835;18.0;0.03757750360117743;32.0;0.08165348303138556;11.0;0.03725530041319515;40.0;0.13580498404291436;27.0;0.10970704156677909;22.0;0.08993541002371025;16.0;0.053990214273662906;16.0;0.08296603577910293;23.0;0.11064075428131614;21.0;0.11966493817311527;23.0;0.057525886648992046
5;work_class;30.0;0.14489253803429122;33.0;0.15097447158934943;28.0;0.13059701492537315;9.0;0.07988638380969287;66.0;0.2960305001121328;45.0;0.17466231951560315;47.0;0.16095890410958905;42.0;0.17494897321614528;38.0;0.1800265302255069;105.0;0.3042596348884381;61.0;0.22825070159027128;78.0;0.23495391288631842;82.0;0.22876911059033592;88.0;0.2247305786812401;88.0;0.20395865201872712;76.0;0.15866057076052692;61.0;0.15565195202857873;44.0;0.1490212016527806;58.0;0.19691722686222585;44.0;0.17878184551623258;48.0;0.19622271277900416;82.0;0.27669984815252235;24.0;0.1244490536686544;58.0;0.2790071194920146;24.0;0.13675992934070316;44.0;0.11004952228502826
6;tenant;22.0;0.10625452789181358;38.0;0.17384939152712964;16.0;0.0746268656716418;17.0;0.15089650275164213;14.0;0.06279434850863422;25.0;0.09703462195311287;20.0;0.0684931506849315;19.0;0.07914358312158953;24.0;0.11370096645821488;19.0;0.05505650536076499;15.0;0.05612722170252573;24.0;0.07229351165732875;23.0;0.0641669456533869;12.0;0.030645078911078198;15.0;0.034765679321373935;38.0;0.07933028538026346;62.0;0.1582036233733095;53.0;0.17950281108175845;48.0;0.16296598085149724;39.0;0.15846572670756978;40.0;0.1635189273158368;81.0;0.2733254597604184;32.0;0.16593207155820586;35.0;0.16836636521069848;45.0;0.25642486751381843;39.0;0.0975438947526387
7;job;20.0;0.09659502535619416;23.0;0.10522463171378901;13.0;0.06063432835820895;9.0;0.07988638380969287;15.0;0.06727965911639382;10.0;0.03881384878124514;30.0;0.10273972602739725;18.0;0.07497813137834798;21.0;0.09948834565093805;33.0;0.09562445667922341;22.0;0.0823199251637044;23.0;0.06928128200494006;26.0;0.0725365472603504;21.0;0.053628888094386845;28.0;0.06489593473323135;49.0;0.10229431535876078;49.0;0.12503189589180913;37.0;0.12531328320802004;28.0;0.09506348883004005;22.0;0.08939092275811629;43.0;0.17578284686452458;47.0;0.15859625442888478;37.0;0.19185895773917552;15.0;0.07215701366172791;13.0;0.07407829505954755;28.0;0.07003151418138162
8;social;18.0;0.08693552282057475;26.0;0.11894958367645714;20.0;0.09328358208955223;13.0;0.11539144328066749;14.0;0.06279434850863422;37.0;0.14361124049060706;23.0;0.07876712328767124;22.0;0.09163993835131419;15.0;0.07106310403638431;10.0;0.028977108084613158;25.0;0.09354536950420954;30.0;0.09036688957166095;23.0;0.0641669456533869;36.0;0.09193523673323459;29.0;0.06721364668798961;55.0;0.11482014989248658;30.0;0.07655014034192395;16.0;0.0541895278737384;33.0;0.11203911183540437;23.0;0.09345414651984885;12.0;0.04905567819475104;26.0;0.08773409819470221;16.0;0.08296603577910293;15.0;0.07215701366172791;16.0;0.09117328622713546;18.0;0.04502025911660247
9;medicareforall;17.0;0.08210577155276504;35.0;0.16012443956446154;24.0;0.11194029850746269;4.0;0.03550505947097461;9.0;0.040367795469836286;20.0;0.07762769756249029;36.0;0.1232876712328767;57.0;0.2374307493647686;31.0;0.1468637483418609;20.0;0.057954216169226316;30.0;0.11225444340505146;38.0;0.11446472679077054;41.0;0.11438455529516796;32.0;0.08172021042954186;46.0;0.10661474991888009;22.0;0.04592805995699463;20.0;0.05103342689461597;15.0;0.05080268238162975;13.0;0.044136619813947175;6.0;0.02437934257039535;10.0;0.0408797318289592;12.0;0.04049266070524717;22.0;0.11407829919626654;14.0;0.06734654608427938;9.0;0.05128497350276368;10.0;0.02501125506477915
