;word;df_precrisis;pecent_rdf_precrisis;df_crisis;pecent_rdf_crisis
0;need;769;0.9441490994364572;3800;4.665496200076121
1;build;256;0.3143071124261808;1090;1.338260752127098
2;right_now;78;0.09576544831735195;645;0.7919065918550258
3;struggle;127;0.15592579405517565;485;0.5954646465886628
4;die;101;0.12400397794939165;512;0.6286142248523616
5;emergency;78;0.09576544831735195;518;0.6359807977998502
6;kill;129;0.15838131837100516;332;0.40761703642770325
7;risk;19;0.023327481000380606;289;0.35482326363736816
8;fucking;58;0.07121020515905659;207;0.2541467666883571
9;violence;83;0.10190425910692581;174;0.21363061547716977
10;protection;16;0.0196441945266363;229;0.28115753416248207
11;disaster;25;0.03069405394786922;165;0.20258075605593687
12;unprecedented;3;0.0036832864737443064;104;0.12768726442313597
13;survival;12;0.014733145894977226;100;0.12277621579147688
14;dignity;23;0.028238529632039683;64;0.0785767781065452
15;unacceptable;23;0.028238529632039683;59;0.07243796731697136
16;terrible;15;0.01841643236872153;62;0.07612125379071566
17;million_americans;6;0.007366572947488613;67;0.0822600645802895
18;big_ass;6;0.007366572947488613;50;0.06138810789573844
19;countless;16;0.0196441945266363;39;0.04788272415867598
20;endanger;7;0.00859433510540338;47;0.05770482142199413
21;badly_need;49;0.06016034573782367;4;0.004911048631659075
22;outrageous;6;0.007366572947488613;46;0.056477059264079366
23;class_warfare;25;0.03069405394786922;23;0.028238529632039683
24;shameful;9;0.011049859421232919;35;0.04297167552701691
25;suffering;11;0.013505383737062455;33;0.04051615121118737
26;scared;8;0.00982209726331815;27;0.033149578263698756
27;necessity;4;0.004911048631659075;34;0.04174391336910214
28;desperate;6;0.007366572947488613;32;0.0392883890532726
29;hardship;1;0.0012277621579147688;37;0.04542719984284644
30;disastrous;12;0.014733145894977226;25;0.03069405394786922
31;devastating;10;0.012277621579147687;26;0.03192181610578399
32;voter_suppression;2;0.0024555243158295376;33;0.04051615121118737
33;humanitarian;5;0.0061388107895738436;26;0.03192181610578399
34;socialismorbarbarism;9;0.011049859421232919;15;0.01841643236872153
35;unfair;5;0.0061388107895738436;18;0.022099718842465838
36;mortality;1;0.0012277621579147688;19;0.023327481000380606
37;destructive;8;0.00982209726331815;11;0.013505383737062455
38;misery;5;0.0061388107895738436;14;0.01718867021080676
39;fuckin;8;0.00982209726331815;10;0.012277621579147687
40;frustrate;2;0.0024555243158295376;12;0.014733145894977226
41;illegitimate;2;0.0024555243158295376;12;0.014733145894977226
42;unimaginable;3;0.0036832864737443064;11;0.013505383737062455
43;heartbreake;2;0.0024555243158295376;11;0.013505383737062455
44;horrifying;1;0.0012277621579147688;12;0.014733145894977226
45;unprepared;0;0.0;13;0.015960908052891996
46;abhorrent;1;0.0012277621579147688;11;0.013505383737062455
47;incompetent;1;0.0012277621579147688;11;0.013505383737062455
48;desperation;4;0.004911048631659075;7;0.00859433510540338
49;heartbroken;1;0.0012277621579147688;9;0.011049859421232919
50;heartbreaking;1;0.0012277621579147688;8;0.00982209726331815
51;horrendous;0;0.0;8;0.00982209726331815
52;inexcusable;0;0.0;8;0.00982209726331815
53;unapologetic;2;0.0024555243158295376;6;0.007366572947488613
54;unjustly;0;0.0;8;0.00982209726331815
55;emergenc;2;0.0024555243158295376;2;0.0024555243158295376
56;exponentially;0;0.0;4;0.004911048631659075
57;unparalleled;0;0.0;4;0.004911048631659075
58;exponential;1;0.0012277621579147688;2;0.0024555243158295376
59;manslaughter;0;0.0;3;0.0036832864737443064
60;tremendously;1;0.0012277621579147688;2;0.0024555243158295376
61;agonize;0;0.0;2;0.0024555243158295376
62;desastre;0;0.0;2;0.0024555243158295376
63;exponent;1;0.0012277621579147688;1;0.0012277621579147688
64;irreversible;0;0.0;2;0.0024555243158295376
65;pitiful;0;0.0;2;0.0024555243158295376
66;unspeakable;0;0.0;2;0.0024555243158295376
67;catastrop;0;0.0;1;0.0012277621579147688
68;devasta;0;0.0;1;0.0012277621579147688
69;heartbreak;0;0.0;1;0.0012277621579147688
70;powerlessness;0;0.0;1;0.0012277621579147688
