;word;df_week_1;pecent_rdf_week_1;df_week_2;pecent_rdf_week_2;df_week_3;pecent_rdf_week_3;df_week_4;pecent_rdf_week_4;df_week_5;pecent_rdf_week_5;df_week_6;pecent_rdf_week_6;df_week_7;pecent_rdf_week_7;df_week_8;pecent_rdf_week_8;df_week_9;pecent_rdf_week_9;df_week_10;pecent_rdf_week_10;df_week_11;pecent_rdf_week_11;df_week_12;pecent_rdf_week_12;df_week_13;pecent_rdf_week_13;df_week_14;pecent_rdf_week_14;df_week_15;pecent_rdf_week_15;df_week_16;pecent_rdf_week_16;df_week_17;pecent_rdf_week_17;df_week_18;pecent_rdf_week_18;df_week_19;pecent_rdf_week_19;df_week_20;pecent_rdf_week_20;df_week_21;pecent_rdf_week_21;df_week_22;pecent_rdf_week_22;df_week_23;pecent_rdf_week_23;df_week_24;pecent_rdf_week_24;df_week_25;pecent_rdf_week_25;df_week_26;pecent_rdf_week_26
0;need;72;0,08839887536986335;124;0,15224250758143132;98;0,12032069147564733;107;0,13137055089688024;93;0,11418188068607349;137;0,16820341563432334;138;0,16943117779223807;96;0,1178651671598178;89;0,10927083205441442;149;0,18293656152930055;140;0,17188670210806764;140;0,17188670210806764;163;0,20012523174010732;217;0,2664243882675048;359;0,440766614691402;474;0,5819592628516004;324;0,3977949391643851;275;0,3376345934265614;240;0,29466291789954446;170;0,20871956684551068;183;0,2246804748984027;202;0,2480079558987833;122;0,1497869832656018;129;0,15838131837100516;119;0,1461036967918575;209;0,2566022910041867
1;build;44;0,05402153494824982;28;0,03437734042161352;45;0,055249297106164594;18;0,022099718842465838;41;0,05033824847450552;33;0,04051615121118737;47;0,05770482142199413;51;0,0626158700536532;45;0,055249297106164594;120;0,14733145894977223;52;0,06384363221156798;60;0,07366572947488612;70;0,08594335105403382;77;0,0945376861594372;84;0,10313202126484057;43;0,05279377279033506;40;0,04911048631659075;39;0,04788272415867598;99;0,1215484536335621;32;0,0392883890532726;44;0,05402153494824982;70;0,08594335105403382;42;0,051566010632420285;41;0,05033824847450552;31;0,03806062689535783;50;0,06138810789573844
2;right_now;6;0,007366572947488613;11;0,013505383737062455;6;0,007366572947488613;4;0,004911048631659075;16;0,0196441945266363;19;0,023327481000380606;16;0,0196441945266363;11;0,013505383737062455;11;0,013505383737062455;21;0,025783005316210143;8;0,00982209726331815;24;0,02946629178995445;19;0,023327481000380606;36;0,044199437684931675;65;0,07980454026445996;110;0,13505383737062457;82;0,10067649694901104;33;0,04051615121118737;45;0,055249297106164594;28;0,03437734042161352;31;0,03806062689535783;19;0,023327481000380606;10;0,012277621579147687;17;0,02087195668455107;13;0,015960908052891996;62;0,07612125379071566
3;struggle;27;0,033149578263698756;26;0,03192181610578399;13;0,015960908052891996;9;0,011049859421232919;16;0,0196441945266363;16;0,0196441945266363;20;0,024555243158295374;33;0,04051615121118737;13;0,015960908052891996;23;0,028238529632039683;27;0,033149578263698756;25;0,03069405394786922;11;0,013505383737062455;24;0,02946629178995445;23;0,028238529632039683;31;0,03806062689535783;43;0,05279377279033506;17;0,02087195668455107;51;0,0626158700536532;25;0,03069405394786922;27;0,033149578263698756;48;0,0589325835799089;14;0,01718867021080676;19;0,023327481000380606;13;0,015960908052891996;18;0,022099718842465838
4;die;10;0,012277621579147687;15;0,01841643236872153;11;0,013505383737062455;7;0,00859433510540338;15;0,01841643236872153;31;0,03806062689535783;12;0,014733145894977226;12;0,014733145894977226;9;0,011049859421232919;9;0,011049859421232919;5;0,0061388107895738436;15;0,01841643236872153;17;0,02087195668455107;18;0,022099718842465838;34;0,04174391336910214;43;0,05279377279033506;92;0,11295411852815873;35;0,04297167552701691;38;0,04665496200076121;35;0,04297167552701691;23;0,028238529632039683;35;0,04297167552701691;31;0,03806062689535783;27;0,033149578263698756;19;0,023327481000380606;15;0,01841643236872153
5;emergency;5;0,0061388107895738436;6;0,007366572947488613;7;0,00859433510540338;6;0,007366572947488613;13;0,015960908052891996;28;0,03437734042161352;13;0,015960908052891996;6;0,007366572947488613;3;0,0036832864737443064;4;0,004911048631659075;3;0,0036832864737443064;12;0,014733145894977226;3;0,0036832864737443064;11;0,013505383737062455;62;0,07612125379071566;133;0,16329236700266422;82;0,10067649694901104;48;0,0589325835799089;29;0,03560510257952829;20;0,024555243158295374;26;0,03192181610578399;24;0,02946629178995445;6;0,007366572947488613;16;0,0196441945266363;16;0,0196441945266363;14;0,01718867021080676
6;kill;26;0,03192181610578399;15;0,01841643236872153;11;0,013505383737062455;7;0,00859433510540338;25;0,03069405394786922;32;0,0392883890532726;13;0,015960908052891996;15;0,01841643236872153;15;0,01841643236872153;12;0,014733145894977226;12;0,014733145894977226;5;0,0061388107895738436;12;0,014733145894977226;20;0,024555243158295374;15;0,01841643236872153;22;0,02701076747412491;33;0,04051615121118737;28;0,03437734042161352;12;0,014733145894977226;11;0,013505383737062455;8;0,00982209726331815;13;0,015960908052891996;17;0,02087195668455107;15;0,01841643236872153;4;0,004911048631659075;63;0,07734901594863043
7;risk;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;5;0,0061388107895738436;1;0,0012277621579147688;6;0,007366572947488613;2;0,0024555243158295376;4;0,004911048631659075;2;0,0024555243158295376;8;0,00982209726331815;1;0,0012277621579147688;3;0,0036832864737443064;4;0,004911048631659075;49;0,06016034573782367;48;0,0589325835799089;39;0,04788272415867598;18;0,022099718842465838;17;0,02087195668455107;14;0,01718867021080676;22;0,02701076747412491;19;0,023327481000380606;11;0,013505383737062455;11;0,013505383737062455;5;0,0061388107895738436;12;0,014733145894977226
8;fucking;4;0,004911048631659075;16;0,0196441945266363;13;0,015960908052891996;2;0,0024555243158295376;9;0,011049859421232919;5;0,0061388107895738436;9;0,011049859421232919;7;0,00859433510540338;8;0,00982209726331815;17;0,02087195668455107;4;0,004911048631659075;14;0,01718867021080676;9;0,011049859421232919;10;0,012277621579147687;12;0,014733145894977226;17;0,02087195668455107;10;0,012277621579147687;16;0,0196441945266363;30;0,03683286473744306;10;0,012277621579147687;9;0,011049859421232919;6;0,007366572947488613;8;0,00982209726331815;4;0,004911048631659075;2;0,0024555243158295376;14;0,01718867021080676
9;violence;8;0,00982209726331815;12;0,014733145894977226;18;0,022099718842465838;1;0,0012277621579147688;16;0,0196441945266363;14;0,01718867021080676;14;0,01718867021080676;17;0,02087195668455107;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;5;0,0061388107895738436;13;0,015960908052891996;8;0,00982209726331815;7;0,00859433510540338;2;0,0024555243158295376;4;0,004911048631659075;6;0,007366572947488613;3;0,0036832864737443064;6;0,007366572947488613;3;0,0036832864737443064;1;0,0012277621579147688;15;0,01841643236872153;2;0,0024555243158295376;6;0,007366572947488613;70;0,08594335105403382
10;protection;1;0,0012277621579147688;2;0,0024555243158295376;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;9;0,011049859421232919;1;0,0012277621579147688;1;0,0012277621579147688;7;0,00859433510540338;2;0,0024555243158295376;3;0,0036832864737443064;1;0,0012277621579147688;5;0,0061388107895738436;1;0,0012277621579147688;10;0,012277621579147687;39;0,04788272415867598;27;0,033149578263698756;22;0,02701076747412491;18;0,022099718842465838;9;0,011049859421232919;24;0,02946629178995445;18;0,022099718842465838;7;0,00859433510540338;9;0,011049859421232919;16;0,0196441945266363;10;0,012277621579147687
11;disaster;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;3;0,0036832864737443064;7;0,00859433510540338;6;0,007366572947488613;4;0,004911048631659075;1;0,0012277621579147688;1;0,0012277621579147688;5;0,0061388107895738436;3;0,0036832864737443064;7;0,00859433510540338;3;0,0036832864737443064;4;0,004911048631659075;30;0,03683286473744306;19;0,023327481000380606;25;0,03069405394786922;9;0,011049859421232919;18;0,022099718842465838;5;0,0061388107895738436;8;0,00982209726331815;4;0,004911048631659075;6;0,007366572947488613;5;0,0061388107895738436;7;0,00859433510540338;5;0,0061388107895738436
12;unprecedented;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;2;0,0024555243158295376;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;5;0,0061388107895738436;10;0,012277621579147687;1;0,0012277621579147688;12;0,014733145894977226;18;0,022099718842465838;19;0,023327481000380606;2;0,0024555243158295376;3;0,0036832864737443064;2;0,0024555243158295376;7;0,00859433510540338;5;0,0061388107895738436;4;0,004911048631659075;4;0,004911048631659075;3;0,0036832864737443064
13;survival;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;1;0,0012277621579147688;3;0,0036832864737443064;0;0,0;0;0,0;1;0,0012277621579147688;7;0,00859433510540338;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;10;0,012277621579147687;15;0,01841643236872153;3;0,0036832864737443064;24;0,02946629178995445;4;0,004911048631659075;1;0,0012277621579147688;9;0,011049859421232919;5;0,0061388107895738436;12;0,014733145894977226;2;0,0024555243158295376;3;0,0036832864737443064;0;0,0
14;dignity;5;0,0061388107895738436;3;0,0036832864737443064;4;0,004911048631659075;3;0,0036832864737443064;5;0,0061388107895738436;1;0,0012277621579147688;2;0,0024555243158295376;7;0,00859433510540338;3;0,0036832864737443064;3;0,0036832864737443064;6;0,007366572947488613;1;0,0012277621579147688;6;0,007366572947488613;4;0,004911048631659075;3;0,0036832864737443064;4;0,004911048631659075;2;0,0024555243158295376;7;0,00859433510540338;3;0,0036832864737443064;0;0,0;4;0,004911048631659075;4;0,004911048631659075;1;0,0012277621579147688;0;0,0;4;0,004911048631659075;2;0,0024555243158295376
15;unacceptable;2;0,0024555243158295376;0;0,0;3;0,0036832864737443064;0;0,0;6;0,007366572947488613;5;0,0061388107895738436;7;0,00859433510540338;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;2;0,0024555243158295376;0;0,0;0;0,0;5;0,0061388107895738436;3;0,0036832864737443064;7;0,00859433510540338;11;0,013505383737062455;4;0,004911048631659075;2;0,0024555243158295376;4;0,004911048631659075;3;0,0036832864737443064;3;0,0036832864737443064;3;0,0036832864737443064;0;0,0;2;0,0024555243158295376;4;0,004911048631659075
16;terrible;3;0,0036832864737443064;5;0,0061388107895738436;3;0,0036832864737443064;0;0,0;2;0,0024555243158295376;0;0,0;2;0,0024555243158295376;4;0,004911048631659075;1;0,0012277621579147688;0;0,0;0;0,0;2;0,0024555243158295376;6;0,007366572947488613;3;0,0036832864737443064;4;0,004911048631659075;3;0,0036832864737443064;7;0,00859433510540338;5;0,0061388107895738436;3;0,0036832864737443064;6;0,007366572947488613;3;0,0036832864737443064;3;0,0036832864737443064;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;10;0,012277621579147687
17;million_americans;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;3;0,0036832864737443064;0;0,0;0;0,0;0;0,0;4;0,004911048631659075;2;0,0024555243158295376;5;0,0061388107895738436;10;0,012277621579147687;9;0,011049859421232919;4;0,004911048631659075;12;0,014733145894977226;3;0,0036832864737443064;4;0,004911048631659075;0;0,0;3;0,0036832864737443064;1;0,0012277621579147688;3;0,0036832864737443064;2;0,0024555243158295376;2;0,0024555243158295376
18;big_ass;1;0,0012277621579147688;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;0;0,0;1;0,0012277621579147688;13;0,015960908052891996;9;0,011049859421232919;1;0,0012277621579147688;24;0,02946629178995445;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0
19;countless;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;9;0,011049859421232919;6;0,007366572947488613;0;0,0;1;0,0012277621579147688;1;0,0012277621579147688;1;0,0012277621579147688;3;0,0036832864737443064;1;0,0012277621579147688;2;0,0024555243158295376;2;0,0024555243158295376;2;0,0024555243158295376;2;0,0024555243158295376;3;0,0036832864737443064;2;0,0024555243158295376;4;0,004911048631659075;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;9;0,011049859421232919
20;endanger;2;0,0024555243158295376;0;0,0;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;3;0,0036832864737443064;1;0,0012277621579147688;1;0,0012277621579147688;0;0,0;0;0,0;2;0,0024555243158295376;6;0,007366572947488613;4;0,004911048631659075;5;0,0061388107895738436;2;0,0024555243158295376;1;0,0012277621579147688;3;0,0036832864737443064;4;0,004911048631659075;1;0,0012277621579147688;9;0,011049859421232919;3;0,0036832864737443064;2;0,0024555243158295376
21;badly_need;45;0,055249297106164594;3;0,0036832864737443064;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0;0;0,0;0;0,0;1;0,0012277621579147688;0;0,0
22;outrageous;3;0,0036832864737443064;0;0,0;0;0,0;0;0,0;2;0,0024555243158295376;1;0,0012277621579147688;0;0,0;2;0,0024555243158295376;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;8;0,00982209726331815;0;0,0;5;0,0061388107895738436;2;0,0024555243158295376;2;0,0024555243158295376;2;0,0024555243158295376;4;0,004911048631659075;1;0,0012277621579147688;2;0,0024555243158295376;4;0,004911048631659075;1;0,0012277621579147688;2;0,0024555243158295376;2;0,0024555243158295376;1;0,0012277621579147688;3;0,0036832864737443064
