;word;frequency_precrisis;percent_precrisis;frequency_crisis;percent_crisis
0;need;810.0;0.5310500367145704;4193.0;0.7228325797003512
1;build;268.0;0.1757054442463023;1123.0;0.19359432077354982
2;kill;145.0;0.09506451274520088;344.0;0.059302267449778394
3;struggle;136.0;0.08916395678170566;507.0;0.08740188836348152
4;die;109.0;0.07146228889121997;531.0;0.09153925585997769
5;violence;85.0;0.055727472988566035;182.0;0.031375036848429266
6;right_now;78.0;0.0511381516836253;651.0;0.11222609334245853
7;emergency;78.0;0.0511381516836253;543.0;0.09360793960822578
8;fucking;66.0;0.043270743732298333;213.0;0.03671913653140348
9;badly_need;49.0;0.03212524913458513;4.0;0.0006895612494160279
10;class_warfare;25.0;0.016390433231931185;23.0;0.00396497718414216
11;disaster;25.0;0.016390433231931185;169.0;0.029133962787827178
12;dignity;24.0;0.015734815902653937;64.0;0.011032979990656446
13;unacceptable;23.0;0.015079198573376692;60.0;0.010343418741240416
14;risk;19.0;0.012456729256267701;293.0;0.05051036151972404
15;protection;16.0;0.010489877268435959;230.0;0.0396497718414216
16;countless;16.0;0.010489877268435959;39.0;0.006723222181806271
17;terrible;15.0;0.009834259939158712;62.0;0.01068819936594843
18;scared;13.0;0.008523025280604217;28.0;0.004826928745912194
19;survival;12.0;0.007867407951326968;101.0;0.017411421547754703
20;disastrous;12.0;0.007867407951326968;25.0;0.004309757808850174
21;suffering;11.0;0.007211790622049722;33.0;0.00568888030768223
22;devastating;10.0;0.006556173292772474;26.0;0.004482148121204181
23;shameful;9.0;0.005900555963495227;35.0;0.006033660932390244
24;socialismorbarbarism;9.0;0.005900555963495227;15.0;0.002585854685310104
25;fuckin;8.0;0.0052449386342179796;10.0;0.0017239031235400696
26;destructive;8.0;0.0052449386342179796;11.0;0.0018962934358940765
27;endanger;7.0;0.004589321304940732;47.0;0.008102344680638328
28;outrageous;6.0;0.003933703975663484;46.0;0.00792995436828432
29;million_americans;6.0;0.003933703975663484;68.0;0.011722541240072472
30;big_ass;6.0;0.003933703975663484;50.0;0.008619515617700349
31;desperate;6.0;0.003933703975663484;32.0;0.005516489995328223
32;misery;5.0;0.003278086646386237;14.0;0.002413464372956097
33;unfair;5.0;0.003278086646386237;18.0;0.003103025622372125
34;humanitarian;5.0;0.003278086646386237;26.0;0.004482148121204181
35;necessity;4.0;0.0026224693171089898;35.0;0.006033660932390244
36;desperation;4.0;0.0026224693171089898;7.0;0.0012067321864780486
37;unimaginable;3.0;0.001966851987831742;11.0;0.0018962934358940765
38;unprecedented;3.0;0.001966851987831742;113.0;0.019480105296002786
39;heartbreake;2.0;0.0013112346585544949;11.0;0.0018962934358940765
40;illegitimate;2.0;0.0013112346585544949;12.0;0.0020686837482480833
41;voter_suppression;2.0;0.0013112346585544949;33.0;0.00568888030768223
42;unapologetic;2.0;0.0013112346585544949;6.0;0.0010343418741240416
43;frustrate;2.0;0.0013112346585544949;12.0;0.0020686837482480833
44;emergenc;2.0;0.0013112346585544949;2.0;0.00034478062470801393
45;hardship;1.0;0.0006556173292772474;37.0;0.006378441557098257
46;horrifying;1.0;0.0006556173292772474;12.0;0.0020686837482480833
47;incompetent;1.0;0.0006556173292772474;11.0;0.0018962934358940765
48;abhorrent;1.0;0.0006556173292772474;11.0;0.0018962934358940765
49;exponential;1.0;0.0006556173292772474;2.0;0.00034478062470801393
50;tremendously;1.0;0.0006556173292772474;2.0;0.00034478062470801393
51;heartbroken;1.0;0.0006556173292772474;10.0;0.0017239031235400696
52;exponent;1.0;0.0006556173292772474;1.0;0.00017239031235400697
53;mortality;1.0;0.0006556173292772474;20.0;0.003447806247080139
54;heartbreaking;1.0;0.0006556173292772474;8.0;0.0013791224988320557
55;unprepared;0.0;0.0;13.0;0.0022410740606020906
56;unjustly;0.0;0.0;8.0;0.0013791224988320557
57;horrendous;0.0;0.0;8.0;0.0013791224988320557
58;inexcusable;0.0;0.0;8.0;0.0013791224988320557
59;exponentially;0.0;0.0;4.0;0.0006895612494160279
60;unparalleled;0.0;0.0;4.0;0.0006895612494160279
61;manslaughter;0.0;0.0;3.0;0.0005171709370620208
62;unspeakable;0.0;0.0;2.0;0.00034478062470801393
63;pitiful;0.0;0.0;2.0;0.00034478062470801393
64;agonize;0.0;0.0;2.0;0.00034478062470801393
65;desastre;0.0;0.0;2.0;0.00034478062470801393
66;irreversible;0.0;0.0;2.0;0.00034478062470801393
67;heartbreak;0.0;0.0;1.0;0.00017239031235400697
68;catastrop;0.0;0.0;1.0;0.00017239031235400697
69;powerlessness;0.0;0.0;1.0;0.00017239031235400697
70;devasta;0.0;0.0;1.0;0.00017239031235400697
Total;needbuildkillstruggledieviolenceright_nowemergencyfuckingbadly_needclass_warfaredisasterdignityunacceptableriskprotectioncountlessterriblescaredsurvivaldisastroussufferingdevastatingshamefulsocialismorbarbarismfuckindestructiveendangeroutrageousmillion_americansbig_assdesperatemiseryunfairhumanitariannecessitydesperationunimaginableunprecedentedheartbreakeillegitimatevoter_suppressionunapologeticfrustrateemergenchardshiphorrifyingincompetentabhorrentexponentialtremendouslyheartbrokenexponentmortalityheartbreakingunpreparedunjustlyhorrendousinexcusableexponentiallyunparalleledmanslaughterunspeakablepitifulagonizedesastreirreversibleheartbreakcatastroppowerlessnessdevasta;2161.0;1.416789048568132;10234.0;1.764242456630908
